preschool_name,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,Within_Fees_Constraint,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten,Within_Levels_Constraint
Junior Champs Educampus Pte Ltd,https://preschooler.sg/profile/1402/JUNIOR-CHAMPS-EDUCAMPUS-PTE.-LTD.,,720.0,720.0,720.0,,1200.0,1200.0,1200.0,1,"https___www_juniorchamps_com_sg_about_us_, https___www_juniorchamps_com_sg_about_us__, https___www_juniorchamps_com_sg_, https___www_juniorchamps_com_sg_contact_us_, https___www_juniorchamps_com_sg_our_programmes__, https___www_juniorchamps_com_sg_our_services_, https___www_juniorchamps_com_sg_our_programmes_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,"['aesthetics & creative expression', 'chinese', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'numeracy', 'project work', 'science', 'social & emotional development', 'sports']",1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,"['playgroup', 'nursery', 'kindergarten']",0,1,1,1,1
Just Kids @ Choa Chu Kang Pte Ltd,https://preschooler.sg/profile/1330/JUST-KIDS-@-CHOA-CHU-KANG-PTE.-LTD.,,720.0,720.0,720.0,,1100.0,1100.0,1100.0,1,justedu_com_sg.txt,"['chinese_curriculum', 'english_curriculum', 'moe', 'thematic']",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'science', 'social & emotional development']",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,"['playgroup', 'nursery', 'kindergarten']",0,1,1,1,1
Khalsa Kindergarten,https://preschooler.sg/profile/270/KHALSA-KINDERGARTEN,,,238.35,238.35,,,238.35,238.35,1,"https___khalsakindergarten_com_, https___khalsakindergarten_com_what_parents_should_know__acc_content, https___khalsakindergarten_com_contact_us_, https___khalsakindergarten_com_benefits_of_attending__acc_content, https___khalsakindergarten_com_blog_page_4_, https___khalsakindergarten_com_transport_for_students_, https___khalsakindergarten_com_about_khalsa_kindergarten__acc_content, https___khalsakindergarten_com_kindergarten_curriculum__, https___khalsakindergarten_com_category_testimonials__, https___khalsakindergarten_com_blog__, https___khalsakindergarten_com_safe_environment_, https___khalsakindergarten_com_photo_gallery__acc_content, https___khalsakindergarten_com_multiple_language_options_, https___khalsakindergarten_com_kindergarten_curriculum_, https___khalsakindergarten_com_vision_and_mission__acc_content, https___khalsakindergarten_com_fees_structure__, https___khalsakindergarten_com_11th_music_and_movement_2021_, https___khalsakindergarten_com_blog_page_2_, https___khalsakindergarten_com__enrolment, https___khalsakindergarten_com_welcome_to_khalsa_kindergarten__acc_content, https___khalsakindergarten_com_benefits_of_attending_khalsa_kindergarten__, https___khalsakindergarten_com_29th_graduation_day_2021__acc_content, https___khalsakindergarten_com_blog__acc_content, https___khalsakindergarten_com_about_khalsa_kindergarten__, https___khalsakindergarten_com_fees_structure__acc_content, https___khalsakindergarten_com_vision_and_mission_, https___khalsakindergarten_com_music_class__acc_content, https___khalsakindergarten_com_transport_for_students__acc_content, https___khalsakindergarten_com_contact_us__acc_content, https___khalsakindergarten_com_safe_environment__acc_content, https___khalsakindergarten_com_early_childhood_education__, https___khalsakindergarten_com_benefits_of_attending_khalsa_kindergarten_, https___khalsakindergarten_com_early_childhood_education_, https___khalsakindergarten_com_welcome_to_khalsa_kindergarten_, https___khalsakindergarten_com_benefits_of_attending_, https___khalsakindergarten_com_29th_graduation_day_2021_, https___khalsakindergarten_com_fees_structure_, https___khalsakindergarten_com_music_class__, https___khalsakindergarten_com_photo_gallery_, https___khalsakindergarten_com_11th_music_and_movement_2021__acc_content, https___khalsakindergarten_com_multiple_language_options__, https___khalsakindergarten_com_what_parents_should_know_, https___khalsakindergarten_com_blog_, https___khalsakindergarten_com_music_class_, https___khalsakindergarten_com__acc_content, https___khalsakindergarten_com_welcome_to_khalsa_kindergarten__, https___khalsakindergarten_com__, https___khalsakindergarten_com_safe_environment__, https___khalsakindergarten_com_transport_for_students__, https___khalsakindergarten_com_our_pre_school_programme_, https___khalsakindergarten_com_vision_and_mission__, https___khalsakindergarten_com_rules_and_regulations__acc_content, https___khalsakindergarten_com_rules_and_regulations_, https___khalsakindergarten_com_about_khalsa_kindergarten_, https___khalsakindergarten_com_rules_and_regulations__, https___khalsakindergarten_com_photo_gallery__, https___khalsakindergarten_com_29th_graduation_day_2021__, https___khalsakindergarten_com_our_pre_school_programme__, https___khalsakindergarten_com_category_testimonials_, https___khalsakindergarten_com_category_testimonials__acc_content, https___khalsakindergarten_com_what_parents_should_know__, https___khalsakindergarten_com_contact_us__, https___khalsakindergarten_com_multiple_language_options__acc_content, https___khalsakindergarten_com_11th_music_and_movement_2021__, https___khalsakindergarten_com_early_childhood_education__acc_content, https___khalsakindergarten_com_benefits_of_attending__, https___khalsakindergarten_com_our_pre_school_programme__acc_content, https___khalsakindergarten_com_kindergarten_curriculum__acc_content","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,"['nursery', 'kindergarten']",0,0,1,1,1
Kidsville Child Care & Development Centre (201 Yishun St 21),https://preschooler.sg/profile/1514/KIDSVILLE-CHILD-CARE-&-DEVELOPMENT-CENTRE,830,830.0,830.0,830.0,830,830.0,830.0,830.0,1,"https___kidsville_sg_programme_curriculum_, https___kidsville_sg_student_care_center__, https___kidsville_sg_programme_curriculum__, https___kidsville_sg_about_us__, https___kidsville_sg_, https___kidsville_sg_kidsville_yishun_child_centre_contact_details_, https___kidsville_sg_about_us_, https___kidsville_sg_student_care_center_","['active_learning', 'early_years_development_framework', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'thematic']",1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Bedok North),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Buangkok Crescent),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Buangkok Ridge),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Eunos),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Jurong West),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Pasir Ris),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Kidz Meadow Childcare & Development Centre (Woodlands),https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
