Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Google_Website,Update_Time,Stars,Average_Stars,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End
PCF Sparkletots Preschool @ Woodlands Blk 604 (CC),1.4371487,103.7963374,2.2472117857776452,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 604 Woodlands Drive 42, #01-11, Singapore 730604 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+604/@1.4371487,103.7963374,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13d331476b07:0xf539f6c11a9fd2c7!8m2!3d1.4371487!4d103.7963374!16s%2Fg%2F11s_ygfy1t?entry=ttu",2024-03-19 05:36:50.624309,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PCF Sparkletots Preschool @ Woodlands Blk 649 (CC),1.4389732,103.8010235,1.6892855918540424,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 649 Woodlands Ring Rd, #01-430, Singapore 730649 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+649/@1.4389732,103.8010235,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13c3505ab70b:0xbe2d1612fc7b895a!8m2!3d1.4389732!4d103.8010235!16s%2Fg%2F11t1hvkfbw?entry=ttu",2024-03-19 05:37:05.332543,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PCF Sparkletots Preschool @ Woodlands Blk 652 (KN),1.4378811,103.7995747,1.8802275944465607,1,7.0,17.0,7.0,17.0,7.0,17.0,7.0,17.0,7.0,17.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 652 Woodlands Ring Rd, #01-386, Singapore 730652 ","Tuesday, 7am to 5pm, Wednesday, 7am to 5pm, Thursday, 7am to 5pm, Friday, 7am to 5pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 5pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+652/@1.4378811,103.7995747,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139f948fd4d3:0xbd408c15dfc2c10!8m2!3d1.4378811!4d103.7995747!16s%2Fg%2F1v44bgpf?entry=ttu",2024-03-19 05:37:20.227841,5,5.0,Closed,Closed,7am,5pm,7am,5pm,7am,5pm,7am,5pm,7am,5pm,Closed,Closed
PCF Sparkletots Preschool @ Woodlands Blk 677 (CC),1.4392943,103.801872,1.5886447982690652,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 677 Woodlands Ave 6, #01-748, Singapore 730677 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+677/@1.4392943,103.801872,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139e29cbe697:0xa8f8e0b15e098db!8m2!3d1.4392943!4d103.801872!16s%2Fg%2F12jmkdysj?entry=ttu",2024-03-19 05:37:35.107393,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PCF Sparkletots Preschool @ Woodlands Blk 801 (CC),1.4419265,103.7863546,3.249226272935673,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 801 Woodlands Street 81, #01-127, Singapore 730801 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+801/@1.4419265,103.7863546,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13062cf00001:0x46f5c1f596a39cdf!8m2!3d1.4419265!4d103.7863546!16s%2Fg%2F11j00sb48s?entry=ttu",2024-03-19 05:38:01.214385,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PCF Sparkletots Preschool @ Woodlands Blk 824 (CC),1.4394339,103.7886632,3.0213914981877363,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 824 Woodlands Street 81, #01-02, Singapore 730824 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+824/@1.4394339,103.7886632,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1398d837f3d3:0xb157d3d561a01549!8m2!3d1.4394339!4d103.7886632!16s%2Fg%2F11t1hw129q?entry=ttu",2024-03-19 05:38:26.657748,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PCF Sparkletots Preschool @ Woodlands Blk 853 (CC),1.4393791,103.7931121,2.5344275174362143,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 853 Woodlands Street 83, #01-132, Singapore 730853 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+853/@1.4393791,103.7931121,17z/data=!3m1!4b1!4m6!3m5!1s0x31da130a0717223d:0x913e5ad7aaf11e8f!8m2!3d1.4393791!4d103.7931121!16s%2Fg%2F11f3x4q4xk?entry=ttu",2024-03-19 05:38:41.541424,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
PPS Yishun,1.42566,103.8473517,4.0515063675766845,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"411 Yishun Ring Rd, #01-1807, Singapore 760411 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://presbypreschool.sg/,"https://www.google.com/maps/place/PCS+Grow+%26+Glow+@+Yishun+Childcare+Centre/@1.42566,103.8473517,17z/data=!3m1!4b1!4m6!3m5!1s0x31da144234c702a7:0x1c753ce68653a43c!8m2!3d1.42566!4d103.8473517!16s%2Fg%2F1ptxchr_s?entry=ttu",2024-03-19 05:50:56.966881,"5, 5, 5, 4",4.75,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Raffles Kidz @ Yishun â Best Childcare Centre and Preschool,1.440524,103.8404044,2.7824774660970912,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Learning center,"1 Yishun Ave 7, Singapore 768923 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://www.raffleskidz.com/?utm_campaign=Book%20A%20Tour_All%20Centres&utm_source=ppc&utm_medium=Google%20My%20Business&utm_content=Yishun,"https://www.google.com/maps/place/Raffles+Kidz+@+Yishun+%E2%80%93+Best+Childcare+Centre+and+Preschool/@1.440524,103.8404044,17z/data=!3m1!4b1!4m6!3m5!1s0x31da153fdf255261:0x8e7ee479608550ab!8m2!3d1.440524!4d103.8404044!16s%2Fg%2F11t_q1q88p?entry=ttu",2024-03-19 05:56:24.226973,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
Safari House Preschool Woodlands,1.4347426,103.8026988,1.7254013838132443,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"11 Woodlands Cl, #01-25/26 Woodlands 11, Singapore 737853 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://www.safarihouse.com/,"https://www.google.com/maps/place/Safari+House+Preschool+Woodlands/@1.4347426,103.8026988,17z/data=!3m1!4b1!4m6!3m5!1s0x31da12fc071bae8d:0x1d1d5d336860a37d!8m2!3d1.4347426!4d103.8026988!16s%2Fg%2F11f3x4tzrt?entry=ttu",2024-03-19 06:04:02.397375,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
