Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Google_Website,Update_Time,Stars,Average_Stars,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End
Safari House Preschool Yishun,1.4151354,103.8314089,3.608847707043713,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"2 Yishun Walk, #01-09 HomeTeamNS Khatib, Singapore 767944 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://www.safarihouse.com/,"https://www.google.com/maps/place/Safari+House+Preschool/@1.4151354,103.8314089,17z/data=!3m1!4b1!4m6!3m5!1s0x31da150ae7654489:0x657ff5bd58680715!8m2!3d1.4151354!4d103.8314089!16s%2Fg%2F11sgdfn1jt?entry=ttu",2024-03-19 06:04:27.703134,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
Skool4Kidz Campus @ Yishun,1.4242046,103.84544,3.952684600196109,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"61 Yishun Ave 11, Singapore 768866 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Campus+@+Yishun/@1.4242046,103.84544,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1441e5831a09:0xf8cad3397c9995d9!8m2!3d1.4242046!4d103.84544!16s%2Fg%2F11c5_6gqsp?entry=ttu",2024-03-19 06:11:51.003460,"5, 5, 3, 5, 1, 4, 1",3.4285714285714284,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Marsiling Drive),1.4414002,103.7718123,4.866664231852665,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"24 Marsiling Dr, Singapore 730024 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Marsiling+Drive/@1.4414002,103.7718123,17z/data=!3m1!4b1!4m6!3m5!1s0x31da12ffa97870a7:0x7e8095538463b3bf!8m2!3d1.4414002!4d103.7718123!16s%2Fg%2F11b7q6q49z?entry=ttu",2024-03-19 06:12:57.915840,1,1.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Sembawang Canberra East Crown),1.4452994,103.8338882,2.0493441876266068,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 128B Canberra St, #01-530, Singapore 752128 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://skool4kidz.com.sg/contact-us/register-your-interest/,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Sembawang+Canberra+East+Crown/@1.4452994,103.8338882,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15e40484ff4f:0x23fe851c7ca9b14d!8m2!3d1.4452994!4d103.8338882!16s%2Fg%2F11fd_n8t67?entry=ttu",2024-03-19 06:13:24.100176,1,1.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Sembawang Sunbreeze),1.4441916,103.8163026,0.11770924596299258,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 365, #01-11 Sembawang Cres, 750365 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Sembawang+SunBreeze/@1.4441916,103.8163026,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13b4774688ab:0x932172f729944f2d!8m2!3d1.4441916!4d103.8163026!16s%2Fg%2F11fk283zpl?entry=ttu",2024-03-19 06:13:50.222081,"1, 1, 5",2.333333333333333,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Woodlands Crescent),1.4480734,103.8027865,1.5084567733840817,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"#01-341 Woodlands Cres, BLK 782D, Singapore 734782 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Woodlands+Crescent+Meadow/@1.4480734,103.8027865,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bc5df9744d:0x227752edfdac8f26!8m2!3d1.4480734!4d103.8027865!16s%2Fg%2F11b7q596nq?entry=ttu",2024-03-19 06:15:23.421893,"4, 5, 4, 1",3.5,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Woodlands Ring Road),1.4356895,103.8013299,1.800526880642742,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"BLK 628A Woodlands Ring Rd, #01-282, Singapore 731628 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://skool4kidz.com.sg/our-centres/woodlands-ring-road/,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Woodlands+Ring+Road/@1.4356895,103.8013299,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139f2e8ecd25:0x29fe5576806f0ec8!8m2!3d1.4356895!4d103.8013299!16s%2Fg%2F11byp65vfq?entry=ttu",2024-03-19 06:15:49.606248,"4, 5, 4, 1",3.5,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Yishun Oleander Breeze),1.4147226,103.8415387,4.307466119757223,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 512 Yishun St 51, #01-01, Singapore 760512 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Yishun+Oleander+Breeze/@1.4147226,103.8415387,17z/data=!3m1!4b1!4m6!3m5!1s0x31da141679a3c4cd:0xda829e159e8f2cbe!8m2!3d1.4147226!4d103.8415387!16s%2Fg%2F11g6vh12sr?entry=ttu",2024-03-19 06:16:05.093162,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Centre (Yishun Orchid Spring),1.4216452,103.8484954,4.392673616500686,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"430A Yishun Ave 11, #01-376, Singapore 761430 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Yishun+Orchid+Spring/@1.4216452,103.8484954,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1440866cf2f5:0xd74ff074c937d546!8m2!3d1.4216452!4d103.8484954!16s%2Fg%2F11bw46w9c_?entry=ttu",2024-03-19 06:16:31.453959,"4, 5",4.5,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Skool4Kidz Preschool @ Sembawang Canberra East Creek,1.4517087,103.8314254,1.9897345082195803,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"101 Canberra St, Level 1 Child Care, Singapore 750101 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.havence.world/enquiry/skool4kidz/prospect,"https://www.google.com/maps/place/Skool4Kidz+Preschool+@+Sembawang+Canberra+East+Creek/@1.4517087,103.8314254,17z/data=!3m1!4b1!4m6!3m5!1s0x31da159f1f1cd0dd:0x90bc00f5c8c4454e!8m2!3d1.4517087!4d103.8314254!16s%2Fg%2F11j59k886w?entry=ttu",2024-03-19 06:18:08.230514,"1, 1, 5",2.333333333333333,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Small Wonder @ Nee Soon,1.4360589,103.8361682,2.435412088383105,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"290 Yishun Street 22, #03-401, Singapore 760290 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.smallwonderpreschool.com/,"https://www.google.com/maps/place/Small+Wonder+@+Nee+Soon/@1.4360589,103.8361682,17z/data=!3m1!4b1!4m6!3m5!1s0x31da146249f0ce8d:0xc74f92603f56da30!8m2!3d1.4360589!4d103.8361682!16s%2Fg%2F1tdh5z9x?entry=ttu",2024-03-19 06:21:44.375078,"5, 5, 5, 5, 5, 5, 5, 5, 3, 1, 4, 5, 1, 5",4.214285714285714,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Small Wonder Preschool (Nordcom II),1.4435848,103.8153527,0.025980537570636925,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"2 Gambas Cres, #01-14 Nordcom II, Singapore 757044 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://smallwonderpreschool.com/,"https://www.google.com/maps/place/Small+Wonder+Nordcom+II/@1.4435848,103.8153527,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13af7c5ecfc3:0xa25ddfe3f0f65c2c!8m2!3d1.4435848!4d103.8153527!16s%2Fg%2F11gw1m6t5n?entry=ttu",2024-03-19 06:22:26.239917,"5, 5, 5, 5, 5, 5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Small Wonder Preschool Woodlands,1.446989,103.79876,1.9068142912068138,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"769 Woodlands Drive 60, #01-130, Singapore 730769 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.smallwonderpreschool.com/,"https://www.google.com/maps/place/Small+Wonder+@+Woodlands/@1.446989,103.79876,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1372cedc7b75:0x1206ad4af48086bd!8m2!3d1.446989!4d103.79876!16s%2Fg%2F11cssyxptd?entry=ttu",2024-03-19 06:25:49.802117,"3, 5",4.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Small Wonder Yishun Central (formerly Eager Beaver Preschool),1.427463,103.837055,2.979604670298468,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,School,"925 Yishun Central 1, #05-227, Singapore 760925 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://smallwonderpreschool.com/,"https://www.google.com/maps/place/Small+Wonder+Yishun+Central+(formerly+Eager+Beaver+Preschool)/@1.427463,103.837055,17z/data=!3m1!4b1!4m6!3m5!1s0x31da146f1d9bb0cb:0xb0022b911952624!8m2!3d1.427463!4d103.837055!16s%2Fg%2F11clt6j5sq?entry=ttu",2024-03-19 06:26:29.951671,"1, 5, 5",3.6666666666666665,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Small Wonder Zoophonics Nordcom I,1.4441448,103.814173,0.17086289261902105,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"3, 01-03 Gambas Cres, Nordcom I, 757088 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://smallwonderpreschool.com/,"https://www.google.com/maps/place/Small+Wonder+Zoophonics+Nordcom+I/@1.4441448,103.814173,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137bdb0e71b9:0x5eac598c521147a8!8m2!3d1.4441448!4d103.814173!16s%2Fg%2F11d_9g_176?entry=ttu",2024-03-19 06:26:56.319950,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Spring Brainy Kidz (Yishun 716),1.4264901,103.827502,2.3073583369371624,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"716 Yishun Street 71, Singapore 760716 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.springbrainykidz.com/,"https://www.google.com/maps/place/Spring+Brainy+Kidz+Yishun+Branch/@1.4264901,103.827502,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14714b2eb9b1:0xa745ab99119cfd71!8m2!3d1.4264901!4d103.827502!16s%2Fg%2F1ptx910kh?entry=ttu",2024-03-19 06:30:13.731101,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Star Learners @ Gambas Pte Ltd,1.445007,103.8121599,0.4141118809886303,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"7 Gambas Cres, #01-18/19/20, Singapore 757087 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://starlearners.com.sg/contact-us/,"https://www.google.com/maps/place/Star+Learners+@+Gambas+%7C+Preschool+%26+Childcare/@1.445007,103.8121599,17z/data=!3m1!4b1!4m6!3m5!1s0x31da137bb5cfb8df:0x111d4a4a4d24e2eb!8m2!3d1.445007!4d103.8121599!16s%2Fg%2F11cs3_7xql?entry=ttu",2024-03-19 06:34:53.793486,"5, 5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
Star Learners @ Sembawang Way Pte Ltd,1.450038,103.8184399,0.7999120650209822,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"355 Sembawang Wy, #02-02, Singapore 750355 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://starlearners.com.sg/contact-us/,"https://www.google.com/maps/place/Star+Learners+@+Sembawang+Way+%7C+Preschool+%26+Childcare/@1.450038,103.8184399,17z/data=!3m1!4b1!4m6!3m5!1s0x31da136320f2589d:0x3e15450f46f603d4!8m2!3d1.450038!4d103.8184399!16s%2Fg%2F11clv6clt5?entry=ttu",2024-03-19 06:37:32.442640,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
Star Learners @ Woodlands 888 Pte Ltd,1.4377241,103.7952735,2.3416575079635997,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"888 Woodlands Drive 50, #02-741 Woodlands 888 Plaza, Singapore 730888 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://starlearners.com.sg/contact-us/,"https://www.google.com/maps/place/Star+Learners+@+Woodlands+888+%7C+Preschool+%26+Childcare/@1.4377241,103.7952735,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13542badb753:0xba8df4b74734282d!8m2!3d1.4377241!4d103.7952735!16s%2Fg%2F11hz5xqs95?entry=ttu",2024-03-19 06:41:40.340874,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed
Sunflower Preschool @ NSE,1.4307062,103.8385633,2.9250063743280075,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"1 Yishun Ave 9, #02-02 East Community Club, Singapore 768893 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.sunflowerkid.com/,"https://www.google.com/maps/place/Sunflower+Preschool+@+NSE/@1.4307062,103.8385633,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1465e6a40b17:0x4e42a720d01a3a2e!8m2!3d1.4307062!4d103.8385633!16s%2Fg%2F11hbq8n9h1?entry=ttu",2024-03-19 06:48:58.468120,"1, 5",3.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Sunflower Preschool @ Sembawang Pte Ltd,1.4370231,103.8259138,1.3562811728595863,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"534 Sembawang Rd, Singapore 758407 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.sunflowerkid.com/,"https://www.google.com/maps/place/Sunflower+Preschool+@+Sembawang/@1.4370231,103.8259138,17z/data=!3m1!4b1!4m6!3m5!1s0x31da157eec2d1553:0x7ecb6e0d6227a182!8m2!3d1.4370231!4d103.8259138!16s%2Fg%2F11h76kq6gw?entry=ttu",2024-03-19 06:50:05.936774,"5, 5, 5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Sunshine Kids Preschool @ Woodlands Pte Ltd,1.4429185,103.8040118,1.2833982924792975,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"795 Woodlands Drive 72, #01-01, Singapore 730795 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.sunshinekids.com.sg/,"https://www.google.com/maps/place/Sunshine+Kids+Preschool+@+Woodlands+Pte+Ltd/@1.4429185,103.8040118,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13679e9adca5:0xd65f8a9b811b385c!8m2!3d1.4429185!4d103.8040118!16s%2Fg%2F11rxzjghry?entry=ttu",2024-03-19 06:54:05.355091,"5, 5, 5, 5, 5, 1, 5, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3",4.318181818181818,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
The Little Skool-House International Pte Ltd (At-Republic-Polytechnic),1.447235,103.7842752,3.501297452936091,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"17 Woodlands Ave 9, #01-01 Republic Polytechnic, Singapore 738968 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://bit.ly/LSH_RepublicPolytechnic_ScheduleAVisit,"https://www.google.com/maps/place/Little+Skool-House+Republic+Polytechnic/@1.447235,103.7842752,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13063ed79a51:0xad5b413706b1943!8m2!3d1.447235!4d103.7842752!16s%2Fg%2F11hbq8qghl?entry=ttu",2024-03-19 07:06:52.962756,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
The Orange Academy (Yishun) Pte Ltd,1.4280919,103.8367061,2.906941832811912,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"1 North Point Drive, South Wing, #02-186 Northpoint City, Singapore 768019 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://orangeacademy.com.sg/,"https://www.google.com/maps/place/The+Orange+Academy/@1.4280919,103.8367061,17z/data=!3m1!4b1!4m6!3m5!1s0x31da146f0fa2bf21:0xa713fc8a7a461ab3!8m2!3d1.4280919!4d103.8367061!16s%2Fg%2F11f7b43530?entry=ttu",2024-03-19 07:09:46.536374,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
Tzu Chi Great Love Preschool (Yishun),1.4296313,103.828884,2.135489350454446,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,8.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 703 Yishun Ave 5, #01-270, Singapore 760703 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 8am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://preschool.tzuchi.org.sg/,"https://www.google.com/maps/place/Tzu+Chi+Great+Love+Preschool+(Yishun)+%E6%85%88%E6%B5%8E%E5%A4%A7%E7%88%B1%E5%B9%BC%E6%95%99%E4%B8%AD%E5%BF%83+(%E4%B9%89%E9%A1%BA)/@1.4296313,103.828884,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1470a100503f:0x5cf5d920df36648f!8m2!3d1.4296313!4d103.828884!16s%2Fg%2F11b6_qbmwl?entry=ttu",2024-03-19 07:21:18.181506,"5, 5, 5, 5, 4",4.8,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,8am,2pm
Wat Patthar Educare Centre,1.4361557,103.7978181,2.131002480639408,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,School,"Blk 664 Woodlands Ring Rd, Singapore 730664 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",http://www.wpecc.info/,"https://www.google.com/maps/place/Wat+Patthar+Educare+Centre/@1.4361557,103.7978181,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13a1dcf8cafd:0xd0d0f44852c01b49!8m2!3d1.4361557!4d103.7978181!16s%2Fg%2F1tdzchgw?entry=ttu",2024-03-19 07:22:00.024509,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm
