Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,Within_Fees_Constraint,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten,Within_Levels_Constraint
PCF Sparkletots Preschool @ Yew Tee Blk 690D (KN),1.4021252,103.7520201,8.425046121546309,1,8.0,17.0,8.0,17.0,8.0,17.0,8.0,17.0,8.0,17.0,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 690D Choa Chu Kang Cres, #01-74, Singapore 684690 ","Thursday, 8am to 5pm,    Friday, 8am to 5pm,    Saturday, Closed,    Sunday, Closed,    Monday, 8am to 5pm,    Tuesday, 8am to 5pm,    Wednesday, 8am to 5pm",https://www.pcf.org.sg/sparkletots/,"5,    5",5.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Yew+Tee+Blk+690D/@1.4021252,103.7520201,17z/data=!3m1!4b1!4m6!3m5!1s0x31da121fffa91bab:0x3b2a74db1502d8b5!8m2!3d1.4021252!4d103.7520201!16s%2Fg%2F11c1wt0qxm?entry=ttu",2024-04-11 05:34:12.446355,Closed,Closed,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,Closed,Closed,,,,,,,,https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1.0,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0,1.0
PCF Sparkletots Preschool @ Woodlands Blk 652 (KN),1.4378811,103.7995747,1.8802275944465607,1,7.0,17.0,7.0,17.0,7.0,17.0,7.0,17.0,7.0,17.0,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 652 Woodlands Ring Rd, #01-386, Singapore 730652 ","Thursday, 7am to 5pm,    Friday, 7am to 5pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 5pm,    Tuesday, 7am to 5pm,    Wednesday, 7am to 5pm",https://www.pcf.org.sg/sparkletots/,5,5.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Woodlands+Blk+652/@1.4378811,103.7995747,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139f948fd4d3:0xbd408c15dfc2c10!8m2!3d1.4378811!4d103.7995747!16s%2Fg%2F1v44bgpf?entry=ttu",2024-04-11 05:31:49.033851,Closed,Closed,7am,5pm,7am,5pm,7am,5pm,7am,5pm,7am,5pm,Closed,Closed,,,,,,,,https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1.0,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0,1.0
Kidz Meadow Childcare & Development Centre (Yishun),1.4370135,103.8309351,1.854522815815979,1,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"Blk 173 Yishun Ave 7, #01-817, Singapore 760173 ","Thursday, 9am to 6pm,    Friday, 9am to 6pm,    Saturday, Closed,    Sunday, Closed,    Monday, 9am to 6pm,    Tuesday, 9am to 6pm,    Wednesday, 9am to 6pm",https://www.kidzmeadow.com/,"5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5,    5",5.0,"https://www.google.com/maps/place/Kidz+Meadow+Childcare+@+Yishun/@1.4370135,103.8309351,17z/data=!3m1!4b1!4m6!3m5!1s0x31da147d10000001:0x8b53591fbfa4b87!8m2!3d1.4370135!4d103.8309351!16s%2Fg%2F1tjfdbw_?entry=ttu",2024-04-11 01:21:04.671200,Closed,Closed,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,Closed,Closed,,,,,,,,https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1.0,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0,1.0
Kidz Meadow Childcare & Development Centre (Yew Tee),1.3999923,103.7443123,9.276429168275032,1,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"612 Choa Chu Kang Street 62, #01-195 Block 612, Singapore 680612 ","Thursday, 9am to 6pm,    Friday, 9am to 6pm,    Saturday, Closed,    Sunday, Closed,    Monday, 9am to 6pm,    Tuesday, 9am to 6pm,    Wednesday, 9am to 6pm",http://www.kidzmeadow.com/,"5,    5,    5,    5,    5,    5,    5,    5,    5",5.0,"https://www.google.com/maps/place/Kidz+Meadow+Childcare+@+Yew+Tee/@1.3999923,103.7443123,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11f65908eaeb:0xfba60f5e0a5c99c!8m2!3d1.3999923!4d103.7443123!16s%2Fg%2F1ptvrkscp?entry=ttu",2024-04-11 01:20:38.575831,Closed,Closed,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,Closed,Closed,,,,,,,,https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1.0,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0,1.0
Bethesda (Ang Mo Kio) Kindergarten,1.3745994,103.8374405,8.033634152109805,1,8.0,15.0,8.0,15.0,8.0,15.0,8.0,15.0,8.0,15.0,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"601 Ang Mo Kio Ave 4, Singapore 569898 ","Thursday, 8am to 3pm,    Friday, 8am to 3pm,    Saturday, Closed,    Sunday, Closed,    Monday, 8am to 3pm,    Tuesday, 8am to 3pm,    Wednesday, 8am to 3pm",https://www.bethesdakindergarten.com/contact,"5,    5,    5,    5,    5",5.0,"https://www.google.com/maps/place/Bethesda+(Ang+Mo+Kio)+Kindergarten/@1.3745994,103.8374405,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16c4ebb87861:0xc1bdb4baba97f142!8m2!3d1.3745994!4d103.8374405!16s%2Fg%2F1tcwj1y5?entry=ttu",2024-04-11 00:14:30.460672,Closed,Closed,8am,3pm,8am,3pm,8am,3pm,8am,3pm,8am,3pm,Closed,Closed,,,,,,,,https://preschooler.sg/profile/96/Bethesda-Ang-Mo-Kio-Kindergarten,,440.0,440.0,440.0,,440.0,440.0,440.0,1.0,"https___www_bethesdakindergarten_com_faq, https___www_bethesdakindergarten_com_, https___www_bethesdakindergarten_com__, https___www_bethesdakindergarten_com_about_, https___www_bethesdakindergarten_com_information_, https___www_bethesdakindergarten_com_about, https___www_bethesdakindergarten_com_information_withdrawal_policy, https___www_bethesdakindergarten_com_contact, https___www_bethesdakindergarten_com_register, https___www_bethesdakindergarten_com_information_levels_available, https___www_bethesdakindergarten_com_curriculum, https___www_bethesdakindergarten_com_information_sessions, https___www_bethesdakindergarten_com_curriculum_, https___www_bethesdakindergarten_com_information_fee_structure, https___www_bethesdakindergarten_com_information, https___www_bethesdakindergarten_com_information_bus_operator, https___www_bethesdakindergarten_com_faq_, https___www_bethesdakindergarten_com_register_, https___www_bethesdakindergarten_com_contact_, https___www_bethesdakindergarten_com_information_facilities","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'science', 'social & emotional development']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"['playgroup', 'nursery', 'kindergarten']",0.0,1.0,1.0,1.0,1.0
Kidz Meadow Childcare & Development Centre (Woodlands),1.4429334,103.7895141,2.8941603897363506,1,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,9.0,18.0,9.0,13.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Kindergarten,"874 Woodlands Street 82, #01-522 Block 874, Singapore 730874 ","Tuesday, 9am to 6pm, Wednesday, 9am to 6pm, Thursday, 9am to 6pm, Friday, 9am to 6pm, Saturday, 9am to 1pm, Sunday, Closed, Monday, 9am to 6pm",http://www.kidzmeadow.com/,"5, 5, 5, 5, 5, 5, 5, 5",5.0,"https://www.google.com/maps/place/Kidz+Meadow+Childcare+@+Woodlands/@1.4429334,103.7895141,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1308dca8d50b:0xf0e1af22f41cf006!8m2!3d1.4429334!4d103.7895141!16s%2Fg%2F1tfvwnrv?entry=ttu",2024-03-19 01:24:49.244594,Closed,Closed,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,1pm,,,,,,,,https://preschooler.sg/profile/492/KIDZ-MEADOW-CHILDCARE-&-DEVELOPMENT-CENTRE-(BEDOK-NORTH),1128.49,686.91,686.91,686.91,1750,980.0,980.0,980.0,1.0,"https___www_kidzmeadow_com_interest_form, https___www_kidzmeadow_com_about_us_OurStory, https___www_kidzmeadow_com_about_us_OurTeachers, https___www_kidzmeadow_com_our_centres, https___www_kidzmeadow_com_enquiries_Childcare18Monthsto6YearsOld, https___www_kidzmeadow_com_about_us_OurAwards, https___www_kidzmeadow_com_infant_care, https___www_kidzmeadow_com_enquiries_OURCENTRES, https___www_kidzmeadow_com_programmes_and_curriculum, https___www_kidzmeadow_com_enquiries_EnrichmentProgramme, https___www_kidzmeadow_com_for_parents_Registration, https___www_kidzmeadow_com_school_hours, https___www_kidzmeadow_com_enquiries_NatureMagnifiedProgramme, https___www_kidzmeadow_com_enquiries_BenefitsofNatureImmersedEducation, https___www_kidzmeadow_com_blog_articles, https___www_kidzmeadow_com_enquiries_LittleBloomEarlyYearsCurriculum, https___www_kidzmeadow_com_find_out_more, https___www_kidzmeadow_com_enquiries_InfantCare2Monthsto17Months, https___www_kidzmeadow_com_, https___www_kidzmeadow_com_enquiries_BloomCurriculum, https___www_kidzmeadow_com_newsletters, https___www_kidzmeadow_com_about_us, https___www_kidzmeadow_com_careers, https___www_kidzmeadow_com_enquiries, https___www_kidzmeadow_com_homebdc13411, https___www_kidzmeadow_com_nature_magnified_programme, https___www_kidzmeadow_com_home, https___www_kidzmeadow_com_about_us_media_coverage, https___www_kidzmeadow_com_annual_report, https___www_kidzmeadow_com__, https___www_kidzmeadow_com_for_parents_PartnershipwithParents, https___www_kidzmeadow_com_bloom_curriculum, https___www_kidzmeadow_com_enquiries_HOME, https___www_kidzmeadow_com_for_parents, https___www_kidzmeadow_com_faqs, https___www_kidzmeadow_com_childcare, https___www_kidzmeadow_com_get_in_touch, https___www_kidzmeadow_com_enquiries_ParentsTestimonials, https___www_kidzmeadow_com_testimonials, https___www_kidzmeadow_com_little_bloom_early_years_curriculum, https___www_kidzmeadow_com_enquiries_OURSTORY","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0,1.0
