Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km
Carpe Diem @ Jurong Kechil,1.3435644,103.7703533,12.190237498728678
Carpe Diem @ Jurong West,1.345946,103.7000236,16.80651807792226
Carpe Diem @ Parkway Centre Pte Ltd,1.3018671,103.9061067,18.687032726837067
Carpe Diem @ Petir,1.3776992,103.7648879,9.228520540662172
Carpe Diem Childcare Resort Pte Ltd,1.4164385,103.9002627,9.884690072730717
Carpe Diem First Years Pte Ltd,1.3666259,103.9553318,17.732313144062097
Carpe Diem Kindercare Pte Ltd,1.3301483,103.909651,16.37568616689962
Carpe Diem Little Green House Pte Ltd,1.4346655,103.8023106,1.766010200376665
Carpe Diem Schoolhouse Pte Ltd (131 Toa Payoh Lorong 1),1.3380376,103.8432733,12.120043598590057
Carpe Diem Schoolhouse Pte Ltd (5 Toh Yi Drive),1.3381784,103.7746733,12.556680439593313
Carpe Diem Springs Preschool,1.274206,103.8354632,18.949103201437673
Carpe Diem Starlet 1,1.378239,103.7519523,10.126869929632091
Carpe Diem Starlets 2,1.3788408,103.7503073,10.208144301161571
Carpe Diem Starlets Sparkle Pte Ltd,1.2827221,103.8184563,17.875279324693572
Catholic Kindergarten,1.3600026,103.8818493,11.850182174986971
Cavenur Kindergarten,1.359975,103.933002,16.019904604749346
Chatsworth Preschool - Clementi Woods,1.2997675,103.7681338,16.823821177016296
Chatsworth Preschool - Piccadilly Campus,1.40283,103.871298,7.6689250783511556
Cherie Hearts @ Charlton Pte Ltd,1.3565012,103.881579,12.139271456858156
Cherie Hearts @ Mountbatten Pte Ltd,1.308727,103.8809092,16.649871868972454
Child at Street 11,1.3706167,103.839245,8.516640165695375
Child Care Takeover in Singapore,1.3590631,103.9510862,17.750107763010625
ChildFirst @ Mountbatten,1.3075594,103.8816862,16.80439530919799
Childfirst@Dunearn Pte Ltd,1.3367165,103.7842213,12.368686796581178
Childfirst@Tampines Pte Ltd,1.352687,103.9429503,17.39080460025407
ChildrenÂs Cove Preschool Pte Ltd (Novena),1.3238462,103.848295,13.788836318858996
Childrenâs Cove Preschool - Orange Grove,1.3129374,103.8258873,14.558028641925208
Children's Cove Amoy,1.2817891,103.8474704,18.32307080329616
Children's Cove Preschool - Pasir Ris,1.3692862,103.9573534,17.790518256303006
Children's Cove Preschool - Sembawang,1.4420175,103.8250677,1.0704908340407353
Choa Chu Kang Bible Centre Kindergarten,1.3946236,103.7440759,9.62264223231786
Clementi Woods Kindergarten,1.30275,103.765838,16.592436251935165
Creative Thinkers Preschool Pte Ltd,1.3411905,103.7721403,12.3522847885085
Crestar Learning Centre @ Woodlands Civic Centre,1.4347784,103.78705,3.31107838093791
Da Little Preschool in Tamarind,1.3900586,103.8606111,7.7681947696122045
DAS Chua Chu Kang Learning Centre,1.3791348,103.7536368,9.925043994238154
E & P Training Centre (Yishun),1.4167549,103.8346232,3.6482886744654555
Eager Kids Montessori,1.3591697,103.8912548,12.596010354698187
Early Learning Centre Pte Ltd,1.3806908,103.7464306,10.379239203002212
E-bridge mega centre,1.3993068,103.9142168,12.016736325972927
E-Bridge Pre-School (Member of EtonHouse International Group),1.4303891,103.7975997,2.4676021877842
E-Bridge Pre-School 670 Edgefield Plains,1.4059009,103.9132209,11.632907252692121
E-Bridge Pre-School Forest Spring,1.4256589,103.8529585,4.605520252520408
E-Bridge Pre-School Pte Ltd (126A Canberra Street),1.4452428,103.8349355,2.1646187378839126
E-Bridge Pre-School Pte Ltd (140 Corporation Drive),1.3270069,103.7238383,16.479621708831836
