Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Google_Website,Update_Time,Stars,Average_Stars,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,txt_file_opened,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten
Agape Little Uni. @ Gambas Pte Ltd,1.4434524,103.8155447,5.559111221210924e-05,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"2 Gambas Cres, #01-15 Nordcom II, Singapore 757044 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm",https://agapelittleuni.com/,"https://www.google.com/maps/place/Agape+Little+Uni+Gambas+Centre/@1.4434524,103.8155447,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13beb9a8178f:0xcb75f98955699b38!8m2!3d1.4434524!4d103.8155447!16s%2Fg%2F11fr4j56t9?entry=ttu",2024-03-31 13:53:42.235759,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,"https___www_agapelittleuni_com_, https___www_agapelittleuni_com_curriculum_, https___www_agapelittleuni_com_programmes_preschool_, https___www_agapelittleuni_com_career_, https___www_agapelittleuni_com_visitagapelittleuni_, https___www_agapelittleuni_com_principles_of_teaching_learning_ptl_, https___www_agapelittleuni_com_programmes_infant_care_, https___www_agapelittleuni_com__, https___www_agapelittleuni_com_open_house_2024_, https___www_agapelittleuni_com_programmes_early_years_, https___www_agapelittleuni_com__page, https___www_agapelittleuni_com_contact_career, https___www_agapelittleuni_com_programmes_character_development_, https___www_agapelittleuni_com_online_resources_, https___www_agapelittleuni_com_programmes_, https___www_agapelittleuni_com_contact_enrolment, https___www_agapelittleuni_com_s_t_r_e_a_m_, https___www_agapelittleuni_com_contact_general, https___www_agapelittleuni_com_about, https___www_agapelittleuni_com_contact_, https___www_agapelittleuni_com_programmes_holiday_camp_, https___www_agapelittleuni_com_locations_, https___www_agapelittleuni_com_articles_, https___www_agapelittleuni_com_programmes_enrichment_, https___www_agapelittleuni_com_programmes",https://preschooler.sg/profile/175/AGAPE-CHILD-CARE(SK)-PTE.-LTD.,,720.0,720.0,720.0,,1500.0,1500.0,1500.0,"['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'thematic', 'isteam']",0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'problem-solving skills', 'project work', 'science', 'social & emotional development', 'sports']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0
Acekidz @ SG Pte Ltd (Yishun),1.4323761,103.843223,3.3140282905211813,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Day care center,"315C Yishun Ave 9, #01-180, Singapore 763315 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm",https://business.google.com/create?fp=16715269541426322167&hl=en&authuser=0&gmbsrc=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=sg-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,"https://www.google.com/maps/place/AceKidz+(Yishun)/@1.4323761,103.843223,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14670c8322f1:0xe7f891162d9f5af7!8m2!3d1.4323761!4d103.843223!16s%2Fg%2F11c807bn58?entry=ttu",2024-03-31 13:49:09.731915,"1, 1, 2",1.3333333333333333,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,,,,,,,,,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0
Carpe Diem @ Gambas Crescent,1.4438982,103.8140904,0.1691337543845408,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Child care agency,"3 Gambas Cres, #01-04, Singapore 757088 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://carpediem.com.sg/,"https://www.google.com/maps/place/Carpe+Diem+@+Gambas+Crescent/@1.4438982,103.8140904,17z/data=!3m1!4b1!4m6!3m5!1s0x31da13156d2b6b1b:0x22916080d903011b!8m2!3d1.4438982!4d103.8140904!16s%2Fg%2F11vcmdtgm5?entry=ttu",2024-03-19 00:35:04.502367,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpe Diem Little Green House Pte Ltd,1.4346655,103.8023106,1.766010200376665,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Child care agency,"11 Woodlands Cl, #01-33/34 Woodlands 11, Singapore 737853 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",http://carpediem.com.sg/,"https://www.google.com/maps/place/Carpe+Diem+@+Woodlands+11/@1.4346655,103.8023106,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139ecaf571eb:0x25d708b3e9cce634!8m2!3d1.4346655!4d103.8023106!16s%2Fg%2F11bzs5kv4v?entry=ttu",2024-03-19 00:39:04.450794,"5, 5, 2",4.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,"https___carpediem_com_sg_site_map_, https___carpediem_com_sg_about_, https___carpediem_com_sg_contact_, https___carpediem_com_sg_, https___carpediem_com_sg_website_learning_environment_, https___carpediem_com_sg_events_gallery_, https___carpediem_com_sg__, https___carpediem_com_sg_privacy_policy_, https___carpediem_com_sg__main, https___carpediem_com_sg_learning_environment_, https___carpediem_com_sg__book_a_tour, https___carpediem_com_sg_blog_, https___carpediem_com_sg_curriculum_",https://preschooler.sg/profile/1888/CARPE-DIEM-SCHOOLHOUSE-PTE-LTD,,1030.0,1030.0,1030.0,,1030.0,1030.0,1030.0,"['active_learning', 'early_years_development_framework', 'moe', 'nurturing_early_learners_curriculum', 'thematic']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"['aesthetics & creative expression', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'problem-solving skills', 'science', 'social & emotional development']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0
Children's Cove Preschool - Sembawang,1.4420175,103.8250677,1.0704908340407353,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100.0,100.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"604 Sembawang Rd, #03-08 Sembawang Shopping Centre, Singapore 758459 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, Closed, Sunday, Closed, Monday, 7am to 7pm",https://childrenscove.sg/,"https://www.google.com/maps/place/Children's+Cove+Preschool+-+Sembawang/@1.4420175,103.8250677,17z/data=!3m1!4b1!4m6!3m5!1s0x31da150e611bb2f9:0xf34e7d80f5030a4e!8m2!3d1.4420175!4d103.8250677!16s%2Fg%2F11syc4672z?entry=ttu",2024-03-19 00:47:25.767932,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1",4.636363636363637,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Bridge Pre-School Forest Spring,1.4256589,103.8529585,4.605520252520408,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 471B Yishun Street 42, #02-01, Singapore 762471 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://www.e-bridge.edu.sg/,"https://www.google.com/maps/place/E-Bridge+Pre-School+Forest+Spring/@1.4256589,103.8529585,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15c10036d4bd:0xd48e42be5b79a5ea!8m2!3d1.4256589!4d103.8529585!16s%2Fg%2F11kq17_wx6?entry=ttu",2024-03-19 00:51:52.642977,"5, 5, 5",5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-Bridge Pre-School Pte Ltd (126A Canberra Street),1.4452428,103.8349355,2.1646187378839126,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 126A Canberra St, #01-767, Singapore 751126 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",,"https://www.google.com/maps/place/E-Bridge+Pre-School+Canberra/@1.4452428,103.8349355,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1526950f6be7:0xdf215dc94976699d!8m2!3d1.4452428!4d103.8349355!16s%2Fg%2F11qs_8pyf0?entry=ttu",2024-03-19 00:52:16.904381,"5, 5, 5, 1",4.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,"https___www_e_bridge_edu_sg_private_statement_, https___www_e_bridge_edu_sg_vision_mission_core_values_, https___www_e_bridge_edu_sg_join_us_, https___www_e_bridge_edu_sg__, https___www_e_bridge_edu_sg_our_approach, https___www_e_bridge_edu_sg_locations_, https___www_e_bridge_edu_sg_contact_us_, https___www_e_bridge_edu_sg_fees_, https___www_e_bridge_edu_sg__content, https___www_e_bridge_edu_sg_our_curriculum_, https___www_e_bridge_edu_sg_kindergarten_, https___www_e_bridge_edu_sg_curriculum_overview_, https___www_e_bridge_edu_sg_how_to_register_, https___www_e_bridge_edu_sg__page_id_1092, https___www_e_bridge_edu_sg_interactive_map_, https___www_e_bridge_edu_sg_infant_care_, https___www_e_bridge_edu_sg_founders_message_, https___www_e_bridge_edu_sg_nursery_, https___www_e_bridge_edu_sg_our_milestones_, https___www_e_bridge_edu_sg_, https___www_e_bridge_edu_sg_our_approach_",https://skoolopedia.com/app/childcare/e-bridge-preschool/e-bridge-pre-school-730573,1275,720.0,720.0,720.0,1275,720.0,720.0,720.0,"['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'ib_pyp', 'inquiry_based', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'reggio_emilia_approach', 'thematic']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0
"E-Bridge Pre-School Pte Ltd (573, Woodlands Drive 16)",1.4310171,103.7985269,2.343181505247784,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,12.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Blk 573 &, Woodlands Drive 16, #03-01 573C, 730573 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 12pm, Sunday, Closed, Monday, 7am to 7pm",https://www.e-bridge.edu.sg/,"https://www.google.com/maps/place/E-Bridge+Infant+Care+%26+Pre-School+@+Blk+573+Woodlands+Drive+16/@1.4310171,103.7985269,17z/data=!3m1!4b1!4m6!3m5!1s0x31da132b7a034919:0x112770f35fc68bb6!8m2!3d1.4310171!4d103.7985269!16s%2Fg%2F11k05jb00l?entry=ttu",2024-03-19 00:55:34.993518,"1, 5, 5",3.6666666666666665,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,"https___www_e_bridge_edu_sg_private_statement_, https___www_e_bridge_edu_sg_vision_mission_core_values_, https___www_e_bridge_edu_sg_join_us_, https___www_e_bridge_edu_sg__, https___www_e_bridge_edu_sg_our_approach, https___www_e_bridge_edu_sg_locations_, https___www_e_bridge_edu_sg_contact_us_, https___www_e_bridge_edu_sg_fees_, https___www_e_bridge_edu_sg__content, https___www_e_bridge_edu_sg_our_curriculum_, https___www_e_bridge_edu_sg_kindergarten_, https___www_e_bridge_edu_sg_curriculum_overview_, https___www_e_bridge_edu_sg_how_to_register_, https___www_e_bridge_edu_sg__page_id_1092, https___www_e_bridge_edu_sg_interactive_map_, https___www_e_bridge_edu_sg_infant_care_, https___www_e_bridge_edu_sg_founders_message_, https___www_e_bridge_edu_sg_nursery_, https___www_e_bridge_edu_sg_our_milestones_, https___www_e_bridge_edu_sg_, https___www_e_bridge_edu_sg_our_approach_",https://skoolopedia.com/app/childcare/e-bridge-preschool/e-bridge-pre-school-730573,1275,720.0,720.0,720.0,1275,720.0,720.0,720.0,"['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'ib_pyp', 'inquiry_based', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'reggio_emilia_approach', 'thematic']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0
"E-Bridge Pre-School Pte Ltd (592C, Montreal Link)",1.450795,103.8278399,1.5920217057336834,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,12.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"Montreal Link, #01-26 Blk 592C, Singapore 760504 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 12pm, Sunday, Closed, Monday, 7am to 7pm",https://www.e-bridge.edu.sg/,"https://www.google.com/maps/place/E-Bridge+Pre-School+Montreal+Link/@1.450795,103.8278399,17z/data=!3m1!4b1!4m6!3m5!1s0x31da149c9cfe07ab:0xa9fa59f8a926a905!8m2!3d1.450795!4d103.8278399!16s%2Fg%2F11by__ww6z?entry=ttu",2024-03-19 00:55:48.991455,5,5.0,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,12pm,"https___www_e_bridge_edu_sg_private_statement_, https___www_e_bridge_edu_sg_vision_mission_core_values_, https___www_e_bridge_edu_sg_join_us_, https___www_e_bridge_edu_sg__, https___www_e_bridge_edu_sg_our_approach, https___www_e_bridge_edu_sg_locations_, https___www_e_bridge_edu_sg_contact_us_, https___www_e_bridge_edu_sg_fees_, https___www_e_bridge_edu_sg__content, https___www_e_bridge_edu_sg_our_curriculum_, https___www_e_bridge_edu_sg_kindergarten_, https___www_e_bridge_edu_sg_curriculum_overview_, https___www_e_bridge_edu_sg_how_to_register_, https___www_e_bridge_edu_sg__page_id_1092, https___www_e_bridge_edu_sg_interactive_map_, https___www_e_bridge_edu_sg_infant_care_, https___www_e_bridge_edu_sg_founders_message_, https___www_e_bridge_edu_sg_nursery_, https___www_e_bridge_edu_sg_our_milestones_, https___www_e_bridge_edu_sg_, https___www_e_bridge_edu_sg_our_approach_",https://skoolopedia.com/app/childcare/e-bridge-preschool/e-bridge-pre-school-730573,1275,720.0,720.0,720.0,1275,720.0,720.0,720.0,"['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'ib_pyp', 'inquiry_based', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'reggio_emilia_approach', 'thematic']",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1.0,1.0,1.0,1.0
First Steps Preschool @ Yishun,1.4366681,103.8437831,3.228308689036419,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,14.0,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Preschool,"6 Yishun Industrial Street 1 #01-07/08 Northview Bizhub, 768090 ","Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday, 7am to 7pm, Saturday, 7am to 2pm, Sunday, Closed, Monday, 7am to 7pm",https://ourfirststeps.com.sg/yishun?utm_source=GMB&utm_medium=yishun&utm_campaign=website,"https://www.google.com/maps/place/First+Steps+Preschool+@+Yishun/@1.4366681,103.8437831,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14608af23bbb:0xf4a6935c97a3a268!8m2!3d1.4366681!4d103.8437831!16s%2Fg%2F11bw77_6cs?entry=ttu",2024-03-19 01:04:05.915764,"5, 4, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5",4.538461538461538,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
