Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km,Within_Distance_Constraint,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Sunday_Start_Number,Sunday_End_Number,Monday_Open,Monday_Close,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Within_Opening_Hours_Constraint,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,Within_Fees_Constraint,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten,Within_Levels_Constraint
MindChamps PreSchool @ The Brooks II,1.4036771,103.8186416,4.43614202572293,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"25 Springside Green, #01-08 The Brooks II, Singapore 786015 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 1, 5, 5, 1, 5, 5, 1, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5",4.2,"https://www.google.com/maps/place/MindChamps+PreSchool+@+The+Brooks+II/@1.4036771,103.8186416,17z/data=!3m1!4b1!4m6!3m5!1s0x31da133d6557a3ab:0xca70016dd61ec832!8m2!3d1.4036771!4d103.8186416!16s%2Fg%2F11fmyhz8dp?entry=ttu",2024-03-24 15:49:42.430719,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.2326802117000646,0.2749999999999999,,,0.3096875422371746,,0.134512987012987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Woodlands,1.4343653,103.8024411,1.7727555617957085,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"11 Woodlands Cl, #1-38/39, Singapore 737853 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/woodlands/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.9625,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Woodlands/@1.4343653,103.8024411,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139eb79d7f93:0x1e804824210259ed!8m2!3d1.4343653!4d103.8024411!16s%2Fg%2F11ckv6srwm?entry=ttu",2024-03-24 15:50:08.517967,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.5162138506115828,0.3399999999999999,,0.7041666666666666,0.243859649122807,0.3112499999999999,0.5610505778849274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps Performing Arts PreSchool @ Upper Thomson Road,1.3840184,103.8260669,6.711418292929315,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Kindergarten,"9 Tagore Ln, #01-08, Singapore 787472 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/upper-thomson/,"5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.9523809523809526,"https://www.google.com/maps/place/MindChamps+Performing+Arts+PreSchool+@+Upper+Thomson+Road/@1.3840184,103.8260669,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16b5eabd567d:0x9102f665c04add7f!8m2!3d1.3840184!4d103.8260669!16s%2Fg%2F11b7jd36lf?entry=ttu",2024-03-24 15:50:35.119289,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Nordcom II,1.4429892,103.8164308,0.11110191451280019,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"2 Gambas Cres, #01-26/27/40/41 Nordcom II, Singapore 757044 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4",4.965517241379311,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Nordcom+II/@1.4429892,103.8164308,17z/data=!3m1!4b1!4m6!3m5!1s0x31da138f24ae2873:0x18dbb3f2320d61ef!8m2!3d1.4429892!4d103.8164308!16s%2Fg%2F11h1yvfqsy?entry=ttu",2024-03-24 15:51:01.391351,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.2304728835978836,,,0.1914186507936508,0.3833333333333333,,0.1166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Yio Chu Kang,1.381524,103.846743,7.71006801179992,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"202 Ang Mo Kio Ave 9, #01-204, Singapore 569771 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 4, 5, 5, 5, 1",4.444444444444445,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yio+Chu+Kang/@1.381524,103.846743,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16eae91aae9d:0xdfae408fb4674db9!8m2!3d1.381524!4d103.846743!16s%2Fg%2F11bc7q9s64?entry=ttu",2024-03-24 15:51:27.634658,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Yishun,1.436676,103.84359,3.2072353651439203,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"6 Yishun Industrial Street 1 NorthView, Bizhub, #01-09/10/11, 768090 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/yishun/,"2, 5, 4, 5, 5",4.2,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yishun/@1.436676,103.84359,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14608a5cad71:0xcfd22d6bfb3e6382!8m2!3d1.436676!4d103.84359!16s%2Fg%2F11bw46v638?entry=ttu",2024-03-24 15:51:52.482030,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.2091477272727273,0.2091477272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Junction 10,1.3804112,103.7599899,9.342119308169828,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,9.5,16.0,9.5,16.0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"1 Woodlands Rd, #02-15 Junction 10, Singapore 677899 ","Sunday, 9:30am to 4pm, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 9:30am to 4pm",https://www.mindchamps.org/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Junction+10/@1.3804112,103.7599899,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bc5ec2cd4b:0x11b18783b587487b!8m2!3d1.3804112!4d103.7599899!16s%2Fg%2F11b88hnvfh?entry=ttu",2024-03-24 15:52:17.741004,9:30am,4pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,9:30am,4pm,0.3405555555555555,0.5416666666666666,,0.4599999999999999,0.1583333333333333,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Bishan,1.3595569,103.8344894,9.563451095563146,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,100,100,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"18 Sin Ming Ln, #01-18 Midview City, Singapore 573960 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Bishan/@1.3595569,103.8344894,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1725ef011a6b:0x73fff9c1e9fc1698!8m2!3d1.3595569!4d103.8344894!16s%2Fg%2F11b6v4dxhc?entry=ttu",2024-03-24 15:52:48.746138,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,0.1205071548821548,0.1489015151515151,,-0.074570707070707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps Reading Programme @ Woodland,1.434807,103.8026452,1.7263380444933558,1,8.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,21.0,8.0,19.5,8.0,19.5,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Education center,"11 Woodlands Cl, #01-38/39 Woodlands 11, Singapore 737853 ","Sunday, 8am to 7:30pm, Monday, 8am to 9pm, Tuesday, 8am to 9pm, Wednesday, 8am to 9pm, Thursday, 8am to 9pm, Friday (Good Friday), 8am to 9pm, Hours might differ, Saturday, 8am to 7:30pm",https://www.mindchamps.org/mrw/reading-programme/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Woodland/@1.434807,103.8026452,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139978957a85:0x171466c3634bb7f0!8m2!3d1.434807!4d103.8026452!16s%2Fg%2F11j7dzmz2p?entry=ttu",2024-03-24 15:52:56.718624,8am,7:30pm,8am,9pm,8am,9pm,8am,9pm,8am,9pm,8am,9pm,8am,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MindChamps PreSchool @ Buangkok (Serangoon North),1.375952,103.8706336,9.686837645024688,1,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,19.0,7.0,13.0,100,100,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,Preschool,"15 Serangoon North Ave 5, #02-00, Singapore 554360 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 1pm",https://www.mindchamps.org/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.99,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Buangkok+(Serangoon+North)/@1.375952,103.8706336,17z/data=!3m1!4b1!4m6!3m5!1s0x31da165859d1db05:0x14ed871b6b757e8e!8m2!3d1.375952!4d103.8706336!16s%2Fg%2F11cjj0wf39?entry=ttu",2024-03-24 15:53:11.077199,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,1pm,0.4767871840094063,0.6866666666666666,,0.0,0.2678571428571428,0.7916666666666667,0.3993518518518518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
