Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time
MindChamps PreSchool @ Temasek Club,Preschool,"131 Rifle Range Rd, #03-01 Temasek Club, Singapore 588406 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 2pm",https://www.mindchamps.org/location/temasek-club/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5.0,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Temasek+Club/@1.3465272,103.7806957,17z/data=!3m1!4b1!4m6!3m5!1s0x31da110e06358493:0xf5c7898dd81fb1d4!8m2!3d1.3465272!4d103.7806957!16s%2Fg%2F11hhlc_w8l?entry=ttu",2024-03-24 15:53:40.002327
MindChamps PreSchool @ Serangoon,Preschool,"151 Lorong Chuan, New Tech Park, #03-06 Lobby F, 556741 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 2pm",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5",4.91,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Serangoon/@1.3526598,103.8598608,17z/data=!3m1!4b1!4m6!3m5!1s0x31da170ed7875f97:0xc5ba1c272505aab1!8m2!3d1.3526598!4d103.8598608!16s%2Fg%2F1ptytk4f0?entry=ttu",2024-03-24 15:54:05.439575
MindChamps PreSchool @ Toa Payoh,Preschool,"190 Lor 6 Toa Payoh, #03-512, Singapore 310190 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.89,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Toa+Payoh/@1.3329648,103.8486276,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1766dd2c2c25:0xcfb0d0456743adfd!8m2!3d1.3329648!4d103.8486276!16s%2Fg%2F1tfm8rg4?entry=ttu",2024-03-24 15:54:31.536944
MindChamps PreSchool @ Raffles Town Club,Kindergarten,"1 Plymouth Ave, #03-00, Singapore 297753 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 7pm",https://www.mindchamps.org/mrw/literacy-assessment/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5",4.933333333333334,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Raffles+Town+Club/@1.3218083,103.8246898,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19f92bffe85d:0xb4738ea48bae8802!8m2!3d1.3218083!4d103.8246898!16s%2Fg%2F11f2tsdhlt?entry=ttu",2024-03-24 15:54:59.832695
MindChamps PreSchool @ Punggol,Preschool,"11 Northshore Dr, Singapore 828670 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 1pm",https://www.mindchamps.org/location/punggol-northshore/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5",4.94,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Punggol/@1.4157664,103.8992198,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15ee88c7486d:0x838455223f0a5b64!8m2!3d1.4157664!4d103.8992198!16s%2Fg%2F11clr_pj89?entry=ttu",2024-03-24 15:55:25.335593
MindChamps Chinese PreSchool @ Thomson,Preschool,"512A Thomson Rd, #02-01 SLF Podium, Singapore 298137 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 5, 3, 5, 5, 5, 5, 5, 4",4.666666666666667,"https://www.google.com/maps/place/MindChamps+Chinese+PreSchool+@+Thomson/@1.3331363,103.8390793,17z/data=!3m1!4b1!4m6!3m5!1s0x31da175c62ceb55b:0x1c3a8781f6f6afd4!8m2!3d1.3331363!4d103.8390793!16s%2Fg%2F11hbnz19hs?entry=ttu",2024-03-24 15:55:59.433530
MindChamps PreSchool @ Holland Village,Preschool,"211 Holland Avenue, #04-01 Holland Road Shopping Centre, 278967 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/holland-village/,"5, 5, 3, 5, 5, 5, 5, 5, 4",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Holland+Village/@1.3101699,103.7952395,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a6a541ec05b:0x37b334c288eade93!8m2!3d1.3101699!4d103.7952395!16s%2Fg%2F11bw77w_x1?entry=ttu",2024-03-24 15:56:27.721879
MindChamps PreSchool @ Straits View,Kindergarten,"3, Jalan Tengku Petrie, Straits View, 80200 Johor Bahru, Johor, Malaysia ","Sunday, Closed, Monday, 8am to 6pm, Tuesday, 8am to 6pm, Wednesday, 8am to 6pm, Thursday, 8am to 6pm, Friday, 8am to 6pm, Saturday, 8am to 12pm",https://my.mindchamps.org/contact-us/,"4, 5, 5",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Straits+View/@1.4610437,103.7361021,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc777a28750ae1:0xd2f23ed1c92ec69a!8m2!3d1.4610437!4d103.7361021!16s%2Fg%2F11fl49bv8_?entry=ttu",2024-03-24 15:56:37.787830
MindChamps PreSchool @ JTC Summit,Preschool,"8 Jurong Town Hall Rd, #05-01 The JTC Summit, Singapore 609434 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"4, 5, 5",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+JTC+Summit/@1.3312561,103.7416755,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1008b7f3b785:0xf0f5f366dc95f4f1!8m2!3d1.3312561!4d103.7416755!16s%2Fg%2F1vvyvlc1?entry=ttu",2024-03-24 15:57:19.444443
MindChamps PreSchool @ Fusionopolis,Preschool,"1 Fusionopolis Wy, #03-03 Connexis, Singapore 138632 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/fusionopolis/,"5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.8,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Fusionopolis/@1.2998458,103.7877637,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a454fffffff:0x2a3d7781b215b787!8m2!3d1.2998458!4d103.7877637!16s%2Fg%2F1tcx4jlk?entry=ttu",2024-03-24 15:57:27.594765
