Preschool_Name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
ChildrenÃÂs Cove Preschool Pte Ltd (Novena),0.3683667318344738,0.4404497354497354,,,
ChildrenÃ¢ÂÂs Cove Preschool - Orange Grove,0.19474725274725274,0.10670449433607329,,,
Clementi Woods Kindergarten,0.5608333333333333,,,,
Creative Thinkers Preschool Pte Ltd,0.27727777777777773,0.5883888888888889,,,
Crestar Learning Centre @ Woodlands Civic Centre,-0.48828125,-0.48828125,-0.48828125,-0.48828125,
DAS Chua Chu Kang Learning Centre,,0.3125,,,
Da Little Preschool in Tamarind,0.4386955090364182,0.1423335675951955,,,
E-Bridge Pre-School 670 Edgefield Plains,,0.034895833333333334,0.034895833333333334,,
E-Bridge Pre-School Forest Spring,0.5253125000000001,0.5369999999999999,,,
E-Bridge Pre-School Pte Ltd (126A Canberra Street),,0.15142992424242424,,,
E-Bridge Pre-School Pte Ltd (140 Corporation Drive),0.19327272727272726,0.3122457172457172,0.1,0.1,
E-Bridge Pre-School Pte Ltd (17 Circuit Road),0.0,0.17333333333333334,,,
"E-Bridge Pre-School Pte Ltd (217, Compassvale Drive)",0.45737345041322314,,,,
"E-Bridge Pre-School Pte Ltd (226A, Sumang Lane)",,0.0,,,
"E-Bridge Pre-School Pte Ltd (592C, Montreal Link)",0.31,0.31,,,
E-Bridge Pre-School Pte Ltd (Bukit Panjang Plaza),0.13636363636363635,0.13636363636363635,,,
ELF Preschool,0.4188403859144668,0.2976580537518037,,,
ELFA Chinese Preschool @ Pandan Valley,,0.25,,,
ELFA Preschool @ Hougang,0.3961081164206164,0.3492825104188741,,,
ELFA Preschool @ Jurong,,0.14375,,,
Eager Kids Montessori,0.3025859960145674,0.25,0.0,0.0,
Eshkol Valley @ Northstar Pte Ltd,0.41806056187170315,0.43752921682818074,,,
Eshkol Valley @ Sengkang Pearl Pte Ltd,0.39242803065879994,0.09629983889370611,,,
EtonHouse Bilingual Pre-School Pte Ltd,,0.39999999999999997,0.39999999999999997,,0.39999999999999997
EtonHouse Pre-School Pte Ltd (Newton),0.4145610625202462,0.1526070064389392,,,
EtonHouse Pre-School Pte Ltd (Vanda),1.0,0.04179029304029303,0.05572039072039071,,0.0
Faith Methodist Preschool,0.34489087301587307,0.3154319985569986,,,
First Steps Preschool @ Depot Road,0.3596086003051106,0.3011877860832301,,,
First Steps Preschool @ East Coast,0.33970374552983246,0.2883345275414241,,,
First Steps Preschool @ MacPherson,0.2882279202279202,0.18801179510079766,,,
First Steps Preschool @ Sengkang,0.2996666666666667,0.4093333333333333,,,
First Steps Preschool @ Yishun,0.33518253968253975,0.25376247165532884,,,
Foo Hai Aspiration Child Care Centre @ Tampines,0.5333333333333333,0.36741379310344824,,,
GREENLAND CHILDCARE @ YISHUN,0.7,0.2333333333333333,,,
Gifted Learners Student Care @ Choa Chu Kang,,1.0,,,
Global Mindz (Eden) Preschool Limited,,0.175,,,
Global Tots @ Eastgate Pte Ltd,0.2661610981610982,0.2285017785245058,,,
Glory Joy Child Development Centre,0.43722754926400764,0.2659223453314362,,,
Good Shepherd Preschool,0.375,,,,
Grace Child Development Centre,,-0.0421875,,,
Greenery Childcare Centre,0.4068248106060606,0.2866645781119465,,,
Greenland Childcare @ Fernvale Pte Ltd,0.3358769542423389,0.1755869490832834,,,
Greenland Childcare @ Sumang Walk Pte Ltd,,0.18834249673282694,,,
Happy Family Edu-Hub Pte Ltd,,0.0496031746031746,,,
Happy Town Childcare Pte Ltd,1.0,0.7,1.0,,
Haven Schoolhouse @ Bedok North,0.27849999999999997,1.0,,,
Hope Childcare Centre,0.542037037037037,0.48648181418932407,,,
House on The Hill Mount Sophia - Montessori Pre-School,0.27324935035997866,0.1413777958152958,,,
House on the Hill Pasir Panjang - Montessori Pre-School,0.1802360338074624,0.02589947089947094,,,
Iyad Perdaus Child Development (Hougang),,0.15583333333333335,,,
Joyous Learning,0.4378188199966832,0.25215155029149594,,,
Julia Gabriel Preschool Keppel Marina,0.4777096557884736,0.3444444444444445,,,
Julia Gabriel Preschool Mountbatten,0.46616883116883123,0.2916566929802224,,,
Julia Gabriel Preschool Thomson,0.23984335839599,,,,
Junior Champs @ Kovan Pte Ltd,,0.17583333333333334,,,
Junior Champs Preschool (18 Tai Seng),0.39679487179487183,,,,
Junior Champs Preschool (Grantral Mall),0.35989583333333336,,0.35989583333333336,0.35989583333333336,
JustEdu Learning Centre (Bukit Gombak),0.3242683673469388,0.40064581095596136,,,
Khalsa Kindergarten,0.5104545454545454,0.292156862745098,0.06818181818181818,,
Kiddiwinkie Schoolhouse @ Grandstand Pte Ltd (Cactus),0.3241569465649654,0.30578517635854413,,,
Kiddiwinkie Schoolhouse @ Newton,0.4095177020460082,0.2976597669140824,,,
Kiddiwinkie Schoolhouse @ Novena Pte Ltd,0.43818749999999995,0.3073606601731602,,,
Kiddiwinkie Schoolhouse @ Upper Bukit Timah,0.35024999999999995,0.3480871212121212,,,
Kiddiwinkie Schoolhouse Singapore Pte Ltd (MacRitchie Park),0.3573709029066172,0.5717876766091051,,,
Kids' Star Child Development Centre (S) Pte Ltd,0.3625,-0.8333333333333334,-0.16666666666666666,,-0.16666666666666666
Kidskingdom Pte Ltd,0.38,0.076,,,
Kidsville Child Care & Development Centre (201 Yishun St 21),0.4522544642857144,0.09045089285714288,,,
Kidz Meadow @ Buangkok Ridge,0.40483665639915645,0.3474608085627823,,,
Kidz Meadow Childcare & Development Centre (Bedok North),0.3108318292354219,0.40895410100066965,,,
Kidz Meadow Childcare & Development Centre (Eunos),0.45187499999999997,0.34382967509920637,,,
Kidz Meadow Childcare & Development Centre (Jurong West),0.3304766067266067,0.27002264710598045,,,
Kidz Meadow Childcare & Development Centre (Pasir Ris),0.37174242424242426,0.37944524611191277,0.3499999999999999,,
Kidz Meadow Childcare & Development Centre (Yew Tee),0.3605312049062049,0.21276549938157083,,,
Kidz Meadow Childcare & Development Centre (Yishun),0.3612104547185192,0.25207618211928556,,,
Kinderland Preschool (202 Hougang Street 21),0.5043478260869565,0.4438888888888889,,,
Kinderland Preschool (Marine Parade),0.5313300530638193,0.2877942751940078,,,
Kinderland Preschool (Ministry of Manpower),0.44292655620241833,0.5433630952380952,0.0,,0.0
Kinderland Preschool (Pandan Valley),0.2906542699724518,0.6244607843137255,,,
Kinderland Preschool (Revenue House),0.5128968253968254,0.4212851037851038,,,
Kinderland Preschool (Woodlands Civic Centre),0.5202777777777778,0.34625000000000006,,,
Kinderland Preschool (Yio Chu Kang),0.7488333333333332,0.49471247563352827,,,
Kinderland Preschool @ Sengkang,0.4398809523809524,0.17916666666666667,,,
Kinderland Preschool @ Sunshine Place,0.3871794871794872,0.3712962962962963,,,
Kinderland Preschool @ Woodlands Mart,0.41818181818181815,0.15012958532695372,0.0,0.0,
Learning Kidz @ Jubilee Square,0.3941176470588235,0.3059179495489656,,,
Learning Kidz @ Tampines Plaza,0.4375,0.2285636277302944,,,
Learning Kidz @ Tampines Point,,-0.37777777777777777,,,
Learning Kidz Child Development Centre LLP,0.3869047619047619,0.055946969696969696,,,
Learning Vision @ Harbourlink (Pasir Panjang),0.7652777777777778,0.2265412057078724,,,
Learning Vision @ Raffles Place,0.32828368143115516,0.3200845949356645,,,
Learning Vision @ Techpoint,0.8125,0.6990079365079366,,,
Learning Vision @ Work Pte Ltd (Biopolis),0.6040000000000001,0.4200000000000001,,,
Learning Vision @ Work Pte Ltd (Changi Airport),0.3828219696969697,0.38,,,
Learning Vision @ Work Pte Ltd (Hwa Chong),0.42284463821500856,0.4758036479190325,,,
Learning Vision @ Work Pte Ltd (NTU),0.5203784761337953,0.36170319154529684,,,
Learning Vision @ Work Pte Ltd (NUH Medical Centre),0.346280669599218,0.29289993594840535,,,
Learning Vision @ Work Pte Ltd (Nanyang Polytechnic),0.4320781875652005,0.20075334578275755,,,
Learning Vision @ Work Pte Ltd (Seng Kang Community Hospital),0.209375,0.7,,,
Learning Vision @ Work Pte Ltd (Tan Tock Seng Hospital),0.2867708333333333,0.2686167478354978,,,
Learning Vision @ Work Pte Ltd (Woodlands Vista Point),0.4324452729809872,0.3135510478713016,,,
Little Beez Playskool,0.1,0.475,0.475,0.475,
Little Dolphins Playskool (Choa Chu Kang),0.45999999999999996,-0.10000000000000002,,,
Little Footprints Preschool (Admiralty),0.30166666666666664,0.39473684210526316,,,
Little Footprints Preschool (Ang Mo Kio),0.4700179638955149,0.29223228525860107,,,
Little Footprints Preschool (Boon Keng),0.2554504533484948,0.24632495676350036,,,
Little Footprints Preschool (Bukit Panjang 546),0.35854978354978356,0.40516806722689075,,,
Little Footprints Preschool (Bukit Panjang 631),0.3666666666666667,0.2591836734693878,,,
Little Footprints Preschool (Choa Chu Kang - Limbang),0.39999999999999997,0.3704605933282404,,,
Little Footprints Preschool (Choa Chu Kang 427),0.32533333333333336,,,,
Little Footprints Preschool (ITE West),0.24140625,0.4589862351190476,,,
Little Footprints Preschool (Jurong West 660),0.1672852380952381,0.3589036414565826,,,
Little Footprints Preschool (Keat Hong 803),0.33103069813784103,0.38435896665063335,,,
Little Footprints Preschool (Keat Hong 805),0.359375,0.46238591269841267,,,
Little Footprints Preschool (Kent Ridge),0.06726190476190477,0.21129643806485912,,,
Little Footprints Preschool (Lakeside),0.32511574074074073,0.3445734126984127,,,
Little Footprints Preschool (Punggol Beach),0.31991184396463895,0.2552706530646587,,,
Little Footprints Preschool (Sengkang 260),0.4273358585858586,0.3714231601731601,,,
Little Footprints Preschool (Sengkang 439),0.23346822930156264,0.13260434074670185,,,
Little Footprints Preschool (West Coast),0.38571428571428573,0.18465608465608466,,,
Little Footprints Preschool (Woodgrove),0.36558379289648696,0.3724524858003085,,,
Little Footprints Preschool (Woodlands 316),0.2543770292207792,,,,
Little Footprints Preschool (Woodlands 877),0.25637755102040816,0.2029995670995671,,,
Little Footprints Preschool (Yio Chu Kang - Upper Thomson),0.28690476190476194,0.2907671957671958,,,
Little Footprints Preschool (Yishun 701),0.3967684725419271,0.24100964581425702,,,
Little Footprints Preschool Group Pte Ltd (140 Bishan Street 12),0.20057840307840308,0.23058803219788065,,,
Little Footprints Preschool Group Pte Ltd (255 Serangoon Central Drive),0.37134271978021977,0.3062226921470343,,,
Little Footprints Preschool Pte Ltd (743 Bedok Reservoir Road),0.26408424908424905,0.33854395604395604,,,
Little Footprints Preschool Pte Ltd (Bukit Purmei),0.4270833333333333,0.2553525641025641,,,
Little Footprints Preschool Pte Ltd (Jurong East 248),0.41266603391552836,0.27270247554914223,,,
Little Footprints Preschool Pte Ltd (Jurong West 721),0.4942857142857143,0.12857738095238094,,,
Little Footprints Preschool Pte Ltd (Punggol 107),0.21076674868341538,0.22674088269013082,,,
Little Footprints Preschool Pte Ltd (Punggol 168),0.3803792050465233,0.3194084150147514,,,
Little Footprints Preschool Pte Ltd (Sengkang 201),0.32096854256854257,0.2753859335109335,,,
Little Footprints Preschool Pte Ltd (Sengkang 205),0.30370370370370375,0.17310606060606057,,,
Little Footprints Preschool Pte Ltd (Tampines 372),0.45053571428571426,0.4223800505050505,,,
Little Footprints Preschool Pte Ltd (Tampines 460),0.45802556818181817,0.4046620046620046,,,
Little Footprints Preschool Pte Ltd (Teban Gardens),0.302801856467221,0.3239550667896439,,,
Little Footprints Preschool Pte Ltd (Yishun 366),0.41922123015873014,0.33630397434093257,,,
Little Footprints Preschool Pte Ltd (Yishun 388),0.32516396103896106,0.2683404195011338,,,
Little Footprints Preschool Pte Ltd (Yishun 865),0.4363719336977215,0.3237312812414528,,,
Little Green House @ Aljunied,0.401489898989899,0.19168737816764134,,,
Little Green House @ Bukit Batok,0.4004973845598846,0.11177579130351688,,,
Little Green House @ Jurong West 502,0.4375,,,,
Little Green House @ Serangoon 540,0.4507410037878788,0.3214222081930415,,,
Little Green House @ Serangoon Block 553,0.49775154742917904,0.35604547458714125,,,
Little Green House @ Tampines,0.27304021271126533,0.21347348198538676,,,
Little Green House @ Yishun,0.2637497092737411,0.3918176846193023,,,
Little Greenhouse @ Hougang Pte Ltd,0.24228835978835978,0.46875,,,
Little Greenhouse @ Woodlands Pte Ltd,0.4508325066137566,0.30118877018261453,,,
Little Mighty Me Pte Ltd,0.38196127946127956,0.2921710504366459,,,
Little Olive Tree (FMC Farrer Park),0.26085440707874724,0.5806325156325156,,,0.8
Little Olive Tree (Pasir Ris 21),,0.3262310606060606,,,
Little Olive Tree (Tampines),0.21683116883116882,0.31142857142857144,,,
Little Paddington Preschool Serangoon Pte Ltd,0.9,0.21703448627691055,,,
Little Paddington Preschool Tanglin Park Pte Ltd,0.36874999999999997,,,,
Little Petals @ Symphony,,-0.06489583333333337,,,
Little Petals Preschool Pte Ltd,0.29583333333333334,0.06438472021805354,,,
Little Seeds Preschool (Capstone),0.24320987654320989,0.24320987654320986,,,
Little Seeds Preschool (Praiseland),0.36674242424242426,0.4478761904761905,,,
Little Seeds Preschool (Sonshine),0.3382991622574956,0.3977805759055759,,,
Little Seeds Preschool (TSA - Ang Mo Kio),0.2656649988692899,0.3027864051371514,,,
Little Seeds Preschool (TSA - Bukit Batok East),0.1627435064935065,0.09299963924963923,,,
Little Seeds Preschool (TSA - Bukit Panjang),,0.48750000000000004,,,
Little Seeds Preschool (TSA - Tampines),0.3305038531870429,0.5657632575757575,,,
Little ShepherdsÃÂ Schoolhouse @ Church of the Holy Trinity,0.24166666666666667,-0.0031123737373737388,-0.10629734848484848,,0.0
Little ShepherdsÃÂ Schoolhouse@Church of St Francis of Assisi-JW,0.3949163449163449,0.1306818181818182,,,
Little Skool-House Ulu Pandan Community Club,0.625,0.625,,,
Living Sanctuary Kindergarten,0.5333333333333333,0.0,,,
Luther Preschool,0.34233866442199773,-0.2674999999999999,,,
M.Y World @ Buangkok Woods,0.6083333333333334,0.6083333333333334,,,
M.Y World @ Canberra Eastlink,,-0.12550660546350198,,,
M.Y World @ Marsiling Greenview,0.19848484848484846,,,,
M.Y World @ Punggol Edge,0.5410416666666666,0.4247916666666667,,,
M.Y World @ Sembawang Drive,0.545,0.35063492063492063,,,
M.Y World @ Woodlands Glade,,-0.39,,,
MOE Kindergarten @ Oasis,0.02666666666666666,0.016666666666666666,-0.5,,
MY World Preschool Ltd (Bidadari Alkaff Vista),0.875,0.875,,,
MY World Preschool Ltd (Bukit Batok West Plains 1),0.24,0.026714001486728756,,,
MY World Preschool Ltd (Bukit Panjang),0.0,,,,
MY World Preschool Ltd (Compassvale Ancilla),0.0,,0.0,0.0,0.0
MY World Preschool Ltd (Kang Ching),0.7,0.3,,,
MY World Preschool Ltd (Matilda Court),,-0.6999999999999998,,,
MY World Preschool Ltd (McNair Towers),,-0.01272727272727274,,,
MY World Preschool Ltd (Pasir Ris),,0.052455357142857144,,,
MY World Preschool Ltd (Serangoon North),1.0,,,,
MY World Preschool Ltd (Simei),0.1,0.41999999999999993,,,0.1
MY World Preschool Ltd (Tampines Changkat),0.43333333333333335,,,,
MY World Preschool Ltd (Telok Blangah Rise),0.20476190476190473,0.9099999999999999,,,
MY World Preschool Ltd (Tiong Bahru View),0.46463333333333334,0.41916666666666674,,,
MY World Preschool Ltd (Waterway Sundew),,-1.0,,,
Macpherson Sheng Hong Childcare Centre,0.3736482812312852,0.4410568181818182,,,
MapleBear Gracefields Pte Ltd (One Tree Hill),0.4870364583333333,0.4305555555555556,,,
MapleBear Jurong,0.4558686868686868,0.5529999999999999,,,
MapleBear Jurong East (ICON@IBP),0.25921824341999783,0.32478919631093545,,,
MapleBear Jurong Lakeside,,0.29416666666666663,,,
MapleBear Labrador,,0.028787878787878782,,,
Marine Parade - Aspiration Child Care Centre,0.4347222222222222,,,,
MindChamps Chinese PreSchool @ Cecil Street,0.2732142857142857,0.1752440476190476,,,
MindChamps Chinese PreSchool @ Tampines Central,0.25215701294814963,0.22184299722416703,,,
MindChamps Chinese PreSchool @ Thomson,0.48120630684551136,0.33325973463033876,,,
MindChamps Global HQ,0.6064285714285714,0.6583333333333333,,-0.025,-0.025
MindChamps Performing Arts PreSchool @ Changi Business Park,0.30008781437973603,0.3530924369747899,,,
MindChamps Performing Arts PreSchool @ Marina Square,0.4524620327179382,0.4641733968278912,,,
MindChamps Performing Arts PreSchool @ Upper Thomson Road,0.36386602106740995,0.3371450196376883,,,
MindChamps PreSchool @ Adda Heights,0.2668055555555556,0.0,,,
MindChamps PreSchool @ Bedok,0.30476190476190484,0.3782312925170069,,,
MindChamps PreSchool @ Bishan,0.35180141391433445,0.2785423978555788,,,
MindChamps PreSchool @ Boon Keng,0.48431380954258707,0.4944647091560201,,,
MindChamps PreSchool @ Buangkok (Serangoon North),0.41838879322203965,0.3761591079663874,,,
MindChamps PreSchool @ Changi Airport Terminal 3,0.4304320401140254,0.28078442811783805,,,
MindChamps PreSchool @ City Square Mall,0.26840216906997894,0.34369383174145074,,,
MindChamps PreSchool @ East Coast,0.3459574670387351,0.2796866926848593,,0.0,0.0
MindChamps PreSchool @ Holland Village,0.416091253985505,0.450961208497348,,,
MindChamps PreSchool @ JTC Summit,0.40875048403287534,0.2762765897895208,,,
MindChamps PreSchool @ Junction 10,0.4781556203525623,0.4954751683405244,,,
MindChamps PreSchool @ Jurong West,0.3848187120339338,0.34377677471139967,,,
MindChamps PreSchool @ Nordcom II,0.33789909812409813,0.2880144580727914,,,
MindChamps PreSchool @ One Raffles Place,0.4706630036630036,0.3449751310780722,,,
MindChamps PreSchool @ Paragon,0.4589829316301437,0.3695655347313589,,,
MindChamps PreSchool @ Pasir Ris,0.34894742442694116,0.3400788004195672,,,
MindChamps PreSchool @ Punggol,0.36149605218812947,0.30141884565687566,,,
MindChamps PreSchool @ Raffles Town Club,0.40995124758282653,0.414151661146735,,,
MindChamps PreSchool @ Sengkang,0.32969520770016186,0.45612525689043976,,,
MindChamps PreSchool @ Serangoon,0.5765945653372602,0.5106213031596286,0.6950000000000001,0.625,0.625
MindChamps PreSchool @ Straits View,0.8,,,,
MindChamps PreSchool @ Tampines Point,0.4876597994143217,0.4182705351232042,,,
MindChamps PreSchool @ Tanglin,0.1687069716775599,0.15038554310613134,,,
MindChamps PreSchool @ Temasek Club,0.5037938557864157,0.3921878068193733,,,
MindChamps PreSchool @ The Brooks II,0.4091150994765977,0.25577970692632346,,,
MindChamps PreSchool @ Toa Payoh,0.4401447221239285,0.35743674888313415,,,
MindChamps PreSchool @ West Coast Plaza,0.37040263989482736,0.4054330979866695,,,
MindChamps PreSchool @ Woodlands,0.5118923897958763,0.5283924351491625,,,
MindChamps PreSchool @ Yio Chu Kang,0.43933311688311694,0.2359512987012987,,,
MindChamps PreSchool @ Yishun,0.5654657687991022,0.16114177489177486,,,
MindChamps PreSchool @ Zhongshan Park,0.4149358313421472,0.32951469165754876,,,
MindChamps Reading & Writing Programme @ Westgate,0.2066666666666667,0.08222222222222224,,,
MindChamps Reading @ Punggol Northshore,0.7877777777777778,0.4766666666666666,,,
MindSpace @ Central Plaza (Tiong Bahru) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,0.20245310245310244,0.28689393939393937,,,
MindSpace @ Greenwich V (Sengkang) | After School Student Care for P1-P5 | MindChamps Enrichment & PSLE for P1-P6,0.6486666666666666,0.4417777777777777,,,
MindSpace @ Midview City (Bishan) | After School Student Care for P1-P5 | Powered By MindChamps,0.24237896825396824,0.3139787769946688,,,
MindSpace @ Tai Seng (Grantral Mall) | After School Student Care for P1-P5 | MindChamps Enrichment for P1-P5,0.2672222222222222,0.31185549043065386,,,
Mini World Child Care & Development Centre Pte Ltd,0.3333333333333333,0.05,,,
Modern Montessori Preschool Centre (368 Bukit Batok St 31),0.0,0.17633333333333331,,,
Modern Montessori Preschool Centre (6 Bright Hill Dr),,0.049671957671957666,,,
Mulberry Learning Centre @ Tanjong Pagar Pte Ltd,0.3563494324347234,0.24910754381596167,,,
My First Skool (1 Bedok South Ave 1),0.25,0.25,0.25,0.25,
My First Skool (1 Engku Aman Turn),0.32954545454545453,0.32954545454545453,,,
My First Skool (10 Jurong West),0.4533333333333333,0.0,,,
My First Skool (106 Henderson Crescent),0.9099999999999999,0.9099999999999999,,,
My First Skool (111 McNair Road),0.0,,0.0,,
My First Skool (135 Simei St 1),0.5262962962962963,0.41744289451699423,,,
My First Skool (140 Serangoon North Ave 2),,0.5,,,
My First Skool (14A Toa Payoh Lor 7),0.15000000000000002,0.15000000000000002,,,
My First Skool (18 Marine Terrace),,0.5256111111111111,,,
My First Skool (18A Holland Dr),0.3777777777777777,0.1824074074074074,,,
My First Skool (19 Jalan Sultan),0.46249999999999997,0.32444634313055365,,,
My First Skool (192 Toa Payoh Lor 4),0.32691483959742823,0.28986078213252126,,,
My First Skool (197D Boon Lay Drive),0.3416666666666666,0.3416666666666666,,,
My First Skool (2 Punggol Drive),0.3775606060606061,0.12414772593661484,,,
My First Skool (2 Tanjong Pagar Plaza),0.44999999999999996,0.5541170634920635,,,
My First Skool (203D Compassvale Road),-0.38277777777777766,-0.9099999999999998,0.14444444444444446,0.14444444444444446,0.14444444444444446
My First Skool (208B Punggol Place),,0.0,0.0,,
My First Skool (209A Punggol Place),,0.6,,,
My First Skool (219 Toa Payoh Lor 8),0.5965277777777778,0.4398611111111111,,,
My First Skool (229 Ang Mo Kio Ave 3),0.6763888888888889,0.3625,,,
My First Skool (235 Bukit Panjang Ring Road),,0.08611111111111115,,,
My First Skool (245 Bishan St 22),0.215625,,,,
My First Skool (248 Kim Keat Link),0.2999122474747475,0.3143988786607494,,,
My First Skool (260 Bukit Batok East Ave 4),0.2963126803751804,0.2970947794440143,,,
My First Skool (264 Serangoon Central),0.2714285714285714,,,,
My First Skool (267A Punggol Field),0.55,0.9,,0.9,
My First Skool (269 Compassvale Link),0.85,,,,
My First Skool (291A Bukit Batok St 24),,0.296875,,,
My First Skool (295A Compassvale Crescent),0.7,0.24488047770942506,,,
My First Skool (302B Anchorvale Link),0.2857142857142857,0.4000000000000001,0.4,,
My First Skool (303 Canberra Road),0.38333333333333336,0.7,,,
My First Skool (306 Serangoon Ave 2),,0.3499999999999999,,,0.35
My First Skool (306A Punggol Place),0.2428921568627451,0.2428921568627451,,,
My First Skool (308C Anchorvale Rd),0.3875,-1.0,0.3875,0.3875,0.3875
My First Skool (312C Sumang Link),0.1,0.4428571428571428,,,
My First Skool (314A Anchorvale Link),0.35000000000000003,0.35000000000000003,,,
