Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
,,,,,0.2516203703703704
,-0.217,,,,0.13509695165945168
,,,,,0.28238862426796457
,,,,,0.35989221006146155
0.3828571428571429,,,,,0.32989383632240776
0.0,,,,,0.33429062944622295
,-0.11395833333333333,,,,0.017272727272727273
,,,,,-0.016666666666666656
,,,,,0.46838541666666667
,,,,,0.16374999999999998
,-0.04783653846153846,,,,0.7549999999999999
,,,,,0.7549999999999999
,,,,,0.8775
0.0,,,,,
,,,,,0.1318181818181818
,-0.19422077922077924,,,,0.51
,,,,,1.0
,0.016666666666666663,,,,0.0065972222222222265
,,,,,0.40101653901653905
,-0.061331985624438465,,,,0.40964013992978915
,0.0,,,,0.3800974975317081
,,,,,0.24570666666666668
,0.0,,,,0.5859375
,,,,,0.34462584046070893
,,,,,0.24494472924574287
,,,,,0.20672023809523812
,,,,,0.64375
,,,,,0.4546270396270396
,-0.14772727272727273,,,,0.40413283366647523
,0.3499999999999999,,,,0.7000000000000001
0.2,,,,,0.4446091387477257
,-0.06515151515151515,,,,0.36139650472983814
,,,,,0.43427398989898985
,,,,,0.5296428571428571
,,,,,0.11705304928989142
,-0.19884615384615384,,,,0.7
,,,,,0.4037037037037037
,,,,,0.5261363636363636
,,,,,0.25555555555555554
,-0.13499999999999998,,,,0.4331018518518518
,,,,,0.2839850030921459
,,,,,0.325
,-0.04666666666666669,,,,0.2597589493839494
,-0.08999999999999998,,,,0.34337725468975466
,0.019021909111622028,,,,0.2901491926737025
,,,,,0.4395955882352941
,0.10625000000000001,,,,0.20751686773554417
,,,,,0.36697302178873015
,,,,,0.7
,,,,,0.3137649453720882
,,,,,0.6415674603174604
,,,,,0.2091787439613527
,,,,0.0,0.314204737696514
,,,,0.0,0.22727272727272727
,,,,,0.3797739440894203
,,,,0.6,0.1
,,,,,0.037500000000000006
,,,,,0.30000000000000004
,,,,,0.31425827936683204
,-0.125,,,,0.30190972222222223
,,,,,0.277202380952381
,0.0,,,,0.40138888888888885
,,,,,0.5
,,,,,0.3215702479338843
0.6,,,,,0.47752101563766003
,0.2630892255892256,,,,0.3440126137142685
,,,,,-0.04749999999999993
,0.6499999999999999,,,,0.32268183621933616
,,,,,0.49749999999999994
,,,,,0.36646885521885525
,-0.1111111111111111,,,,0.33313712311080734
,,,,,0.39747717560217566
0.0,,,,,0.16089397992358517
,,,,,0.5608333333333333
,,,,,0.3550555555555555
,,,-0.48828125,,
,0.3125,,,,
,,,,,0.34608240233603604
,0.034895833333333334,,,,
,,,,,0.5292083333333334
,,,,,0.15142992424242424
,,,,,0.24853594322344322
,,,,,0.13
,,,,,0.45737345041322314
,0.0,,,,
,,,,,0.31
,,,,,0.13636363636363635
,,,,,0.3908752323384676
,,,,,0.25
,,,,,0.3726953134197452
,,,,,0.14375
,,0.0,,,0.3064294131794132
,,,,,0.42633474022820617
,-0.3111111111111111,,,,0.2332825962178433
,0.39999999999999997,,,,
,,,,,0.22901027279598707
,0.08358058608058606,,,0.0,1.0
,,,,,0.33752615440115447
,,,,,0.31180975230539015
,,,,,0.3110555278055278
,0.0,,,,0.21933999025176773
,0.9099999999999999,,,,0.24989583333333332
,,,,,0.2639399801587302
,,,,,0.38296874999999997
,,,,,0.35
,,,,,1.0
,,,,,0.175
,,,,,0.2357013543373838
,,,,,0.3481488432190705
,,,,,0.375
,-0.08958333333333333,,,,0.005208333333333325
,,,,,0.37405383810766585
,-0.525,,,,0.25856180539838547
,,,,,0.18834249673282694
,,,,,0.0496031746031746
,,,,,0.85
,,,,,0.519
,,,,,0.5021067206152433
,,,,,0.24327854250891442
,-0.11904761904761901,,,,0.19718073593073593
,,,,,0.15583333333333335
,,,,0.5,0.30686700063020045
,,,,,0.4652160422249708
,,,,,0.37345925775613276
,,,,,0.23984335839599
,-0.065,,,,0.4166666666666667
,,,,,0.39679487179487183
,,,,,0.35989583333333336
,,,,,0.3572495361781076
,0.0,,,,0.42247474747474745
,,,,,0.3131617204565769
,,,,,0.3512583608314635
,,,,,0.3482440476190476
,,,,,0.34880808080808073
,,,,,0.47351332199546486
0.09791666666666667,,,,,-1.0
,0.0,,,,0.19
,,,,,0.22612723214285718
,0.04416666666666666,,,,0.41742732961482965
,,,,,0.3492275007957362
0.30277777777777776,,,,,0.416489490327381
,-0.016666666666666677,,,,0.32123648292126555
,,0.35,,,0.37715962142432735
,0.1475340136054422,,,,0.27633157467532465
,,,,,0.308462222962223
0.0,,,,,0.5098495370370371
,-0.02061938832772166,,,,0.4968129040872547
,,,,0.0,0.5085204991087344
,,,,,0.49332251082251083
,,,,,0.4533492063492063
,0.0,,,,0.45249999999999996
,,,,,0.5476543209876543
,,,,,0.2769345238095238
,0.03819444444444446,,,,0.4354166666666666
-0.3,-0.175,,0.0,,0.305123106060606
,0.31538888888888894,,,,0.3128437314319667
,,,,,0.24945726495726497
,-0.37777777777777777,,,,
,-0.08007575757575758,,,,0.21160714285714288
,0.19189514189514192,,,,0.6479166666666667
,,,,,0.32237087866998404
,,,,,0.7131944444444445
,,,,,0.535
,,,,,0.3823516414141414
,,,,,0.44005631636881637
,0.0,,,,0.44415273915493214
,,,,,0.32552149540167974
,-0.16666666666666666,,,,0.3562508689040947
,,,,,0.3729166666666666
,,,,,0.2746681096681097
,,,,,0.34556103155467854
,,0.475,,,0.1
,,,,,0.25
,0.0,,,,0.45041666666666663
-0.496875,,,,,0.37357656668728095
,0.061904761904761886,,,,0.25613814112474825
,,,,,0.39157106782106776
,,,,,0.27261904761904765
,0.5,,,,0.3436143804112554
,,,,,0.32533333333333336
,,,,,0.4154702380952381
,,,,,0.31535400432900434
,,,,,0.35769483239423716
,,,,,0.44521742724867724
,,,,,0.17978888390483785
,0.5,,,,0.32248376623376623
,-0.0900462962962963,,,,0.2855627947981926
,,,,,0.38340445269016693
,-0.25166666666666665,,,,0.23971770879583382
,,,,,0.27261904761904765
,,,,,0.3704777365904598
,,,,,0.2543770292207792
,,,,,0.2146760010822511
,,,,,0.28980158730158734
,,,,,0.30672040083999286
,,,,,0.21708369909411576
,,,,,0.3326777033730159
,,,,,0.3106215659340659
,,,,,0.2875520833333333
,,,,,0.3397683472663689
,-0.2,,,,0.469531746031746
,,,,,0.22160633961654372
,,,,,0.33405335967924565
,,,,,0.2880477693602693
-0.22222222222222224,,,,,0.27164351851851853
,,,,,0.4317652717652718
,,,,,0.42912030460858586
,,,,,0.3154937826606748
,,,,,0.36295594942522463
,,,,,0.3030659171075838
,,,,,0.3730115666910704
,-0.030572916666666658,,,,0.3544483024691358
0.0,0.17457264957264956,,,,0.23769484483770198
0.875,,,,,0.0
,-0.45111111111111113,,,,0.4343649384469697
,,,,,0.4522031668728097
,,,,,0.2417676790801791
,,,,,0.3209229125530095
,,,,,0.3668422619047619
,,,,,0.3420006983001987
,,,,,0.31742455234982414
,,,,0.8,0.30587462844375285
,,,,,0.3262310606060606
,,,,,0.2523051948051948
,,,,,0.273948279087168
,,,,,0.36874999999999997
,-0.06489583333333337,,,,
,-0.3626984126984127,,,,0.2838953022286355
,,,,,0.24320987654320986
,,,,,0.4230853174603174
,,,,,0.38662781084656084
,,,,,0.2857724272643815
,,,,,0.12351258116883117
,,,,,0.48750000000000004
,,,,,0.4107059228650138
,-0.05703914141414142,,,0.0,0.24166666666666667
,-0.018749999999999968,,,,0.33462923150423146
,,,,,0.625
