Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time,Preschool_Latitude,Preschool_Longitude,Sunday_Start,Sunday_End,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start_Number,Sunday_End_Number,Monday_Start_Number,Monday_End_Number,Tuesday_Start_Number,Tuesday_End_Number,Wednesday_Start_Number,Wednesday_End_Number,Thursday_Start_Number,Thursday_End_Number,Friday_Start_Number,Friday_End_Number,Saturday_Start_Number,Saturday_End_Number,Overall_Sentiment,Communication_Factors,Cost_Factors,Educational_Factors,Facility_Factors,Safety_and_Health_Factors,Staff_and_Management_Factors
PCF Sparkletots Preschool @ Boon Lay Blk 207 (DS),Preschool,"Blk 207 Boon Lay Pl, #01-215, Singapore 640207 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, Closed,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots,"5,    4",4.5,"https://www.google.com/maps/place/PCF+Sparkletots+@+Boon+Lay+Blk+207/@1.3466394,103.7136298,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fc26fddfaf5:0xae0983ab415ab350!8m2!3d1.3466394!4d103.7136298!16s%2Fg%2F1tk_g6l1?entry=ttu",2024-04-11 04:12:21.665458,1.3466394,103.7136298,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,Closed,Closed,Closed,Closed,7,19,7,19,7,19,7,19,7,19,Closed,Closed,,,,,,,
PCF Sparkletots Preschool @ Bishan East-Sin Ming Blk 197 (KN),Preschool,"197 Bishan St. 13, #01-567 Block 197, Singapore 570197 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,"5,    5,    5",5.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bishan+East-Sin+Ming+Blk+197/@1.3485528,103.8503119,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17140b285b39:0x210ea6007d689b3a!8m2!3d1.3485528!4d103.8503119!16s%2Fg%2F1ptxq57pj?entry=ttu",2024-04-11 04:11:56.744995,1.3485528,103.8503119,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
PCF Sparkletots Preschool @ Bishan East-Sin Ming Blk 181 (CC),Preschool,"Blk 181 Bishan St. 13, #01-251, Singapore 570181 ",,https://www.pcf.org.sg/sparkletots,4,4.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bishan+East-Sin+Ming+Blk+181/@1.3487841,103.8526491,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1739958a253b:0x888ca3cb7dcca9e4!8m2!3d1.3487841!4d103.8526491!16s%2Fg%2F11s225g0rr?entry=ttu",2024-04-11 04:11:31.270461,1.3487841,103.8526491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 713 (DS),Kindergarten,"Blk 713 Bedok Reservoir Rd, #01-3960, Singapore 470713 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots,"4,    3,    5",4.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bedok+Reservoir-Punggol+Blk+713/@1.336814,103.92242,17z/data=!3m1!4b1!4m6!3m5!1s0x31da3d6576531163:0xa5012e7a852b8c72!8m2!3d1.336814!4d103.92242!16s%2Fg%2F11t0542xqt?entry=ttu",2024-04-11 04:11:16.695932,1.336814,103.92242,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 508 (CC),Preschool,"Blk 508 Hougang Ave 10, #01-93, Singapore 530508 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots,"4,    3,    5",4.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bedok+Reservoir-Punggol+Blk+508/@1.3716359,103.8884552,17z/data=!3m1!4b1!4m6!3m5!1s0x31da163776255e79:0xe7b81640f70c73b4!8m2!3d1.3716359!4d103.8884552!16s%2Fg%2F1pt_822ww?entry=ttu",2024-04-11 04:10:52.013886,1.3716359,103.8884552,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 475C (DS),Preschool,"Blk 475C Upper Serangoon Cres, #01-547, Singapore 533475 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,3,3.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bedok+Reservoir-Punggol+Blk+475C/@1.3754551,103.8999413,17z/data=!3m1!4b1!4m6!3m5!1s0x31da163b0020d4f7:0x99be95d21f2cc25d!8m2!3d1.3754551!4d103.8999413!16s%2Fg%2F11j1hxfmn4?entry=ttu",2024-04-11 04:10:37.894986,1.3754551,103.8999413,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 470C (CC),Preschool,"Blk 470C Upper Serangoon Cres, #01-352, Singapore 533470 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots,3,3.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bedok+Reservoir-Punggol+Blk+470C/@1.3786031,103.9009412,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1717954f4f61:0x6fba5ce7eb5d61d3!8m2!3d1.3786031!4d103.9009412!16s%2Fg%2F11sx2mc6b4?entry=ttu",2024-04-11 04:10:23.374312,1.3786031,103.9009412,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
PCF Sparkletots Preschool @ Bedok Reservoir-Punggol Blk 414 (DS),Day care center,"Blk 414 Hougang Ave 10, #01-1256, Singapore 530414 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots/,3,3.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Bedok+Reservoir-Punggol+Blk+414/@1.3751984,103.8962356,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16399a0cde05:0xf3501075077713b0!8m2!3d1.3751984!4d103.8962356!16s%2Fg%2F1ptzvn354?entry=ttu",2024-04-11 04:09:58.935390,1.3751984,103.8962356,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,0.15,,,0.15,,,
PCF Sparkletots Preschool @ Bedok Blk 30 (DS),Preschool,"No. 30, New Upper Changi Road, #01-812, Bedok Education Centres, 461030, 461030 ",,,4,4.0,"https://www.google.com/maps/place/Pap+Community+Foundation/@1.3241445,103.935457,17z/data=!3m1!4b1!4m6!3m5!1s0x31da22b50f65597f:0xe1212bd206800887!8m2!3d1.3241445!4d103.935457!16s%2Fg%2F1ptwf8nzd?entry=ttu",2024-04-11 04:09:44.126112,1.3241445,103.935457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCF Sparkletots Preschool @ Ayer Rajah-Gek Poh Blk 750 (KN),Preschool,"Blk 750 Jurong West Street 73, #01-169, Singapore 640750 ","Thursday, 7am to 7pm,    Friday, 7am to 7pm,    Saturday, 7am to 2pm,    Sunday, Closed,    Monday, 7am to 7pm,    Tuesday, 7am to 7pm,    Wednesday, 7am to 7pm",https://www.pcf.org.sg/sparkletots,4,4.0,"https://www.google.com/maps/place/PCF+Sparkletots+@+Ayer+Rajah-Gek+Poh+Blk+750/@1.3480056,103.6992901,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fbdd0682d4b:0x67168b67f08c5594!8m2!3d1.3480056!4d103.6992901!16s%2Fg%2F1tgjz44l?entry=ttu",2024-04-11 04:09:30.276528,1.3480056,103.6992901,Closed,Closed,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,7pm,7am,2pm,Closed,Closed,7,19,7,19,7,19,7,19,7,19,7,14,,,,,,,
