Word,Frequency,Category
teacher,13684,Staff_and_Management_Factors
school,12136,Facility_Factors
child,9531,Communication_Factors
kid,5378,Communication_Factors
parent,3062,Staff_and_Management_Factors
son,2826,Staff_and_Management_Factors
year,2519,Communication_Factors
staff,2430,Staff_and_Management_Factors
care,2428,Communication_Factors
daughter,2397,Staff_and_Management_Factors
environment,2178,Facility_Factors
time,2118,Communication_Factors
day,1818,Communication_Factors
principal,1575,Facility_Factors
activity,1526,Educational_Factors
class,1490,Educational_Factors
experience,1357,Educational_Factors
centre,1350,Facility_Factors
curriculum,1193,Educational_Factors
lot,1176,Communication_Factors
thank,1172,Communication_Factors
month,1163,Communication_Factors
team,1072,Facility_Factors
learning,1071,Educational_Factors
girl,1023,Staff_and_Management_Factors
preschool,988,Facility_Factors
boy,982,Staff_and_Management_Factors
place,932,Facility_Factors
effort,907,Educational_Factors
student,865,Staff_and_Management_Factors
love,862,Communication_Factors
work,855,Educational_Factors
fun,836,Communication_Factors
development,807,Educational_Factors
update,805,Communication_Factors
friend,752,Staff_and_Management_Factors
education,669,Educational_Factors
communication,654,Communication_Factors
skill,635,Educational_Factors
way,631,Educational_Factors
progress,617,Educational_Factors
infant,616,Communication_Factors
teaching,611,Educational_Factors
thing,606,Communication_Factors
childcare,603,Facility_Factors
patience,595,Communication_Factors
home,590,Facility_Factors
hand,590,Educational_Factors
journey,565,Educational_Factors
play,522,Educational_Factors
family,516,Facility_Factors
lesson,505,Educational_Factors
area,484,Safety_and_Health_Factors
dedication,448,Staff_and_Management_Factors
center,439,Facility_Factors
life,439,Safety_and_Health_Factors
baby,431,Communication_Factors
job,406,Communication_Factors
management,398,Educational_Factors
growth,390,Educational_Factors
improvement,385,Educational_Factors
concern,384,Safety_and_Health_Factors
facility,381,Facility_Factors
week,380,Communication_Factors
guidance,372,Educational_Factors
feedback,370,Communication_Factors
heart,367,Staff_and_Management_Factors
support,362,Staff_and_Management_Factors
event,357,Facility_Factors
decision,346,Facility_Factors
food,346,Communication_Factors
app,345,Communication_Factors
mind,336,Staff_and_Management_Factors
language,326,Educational_Factors
need,326,Educational_Factors
confidence,322,Communication_Factors
