preschool_name,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten
Little Footprints Preschool Pte Ltd (Yio Chu Kang),https://littlefootprints.edu.sg/admission-info-fees,1290,720.0,720.0,720.0,1500,860.0,860.0,860.0,"https___www_littlefootprints_edu_sg_book_a_tour, https___www_littlefootprints_edu_sg_our_curriculum, https___www_littlefootprints_edu_sg_frequently_asked_questions, https___www_littlefootprints_edu_sg_centre_list, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_north, https___www_littlefootprints_edu_sg_admission_info_fees_childcare_subsidies, https___www_littlefootprints_edu_sg_, https___www_littlefootprints_edu_sg_our_curriculum_childcare, https___www_littlefootprints_edu_sg_our_curriculum_infant_care, https___www_littlefootprints_edu_sg__top, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_south, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_west, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_central, https___www_littlefootprints_edu_sg_childcare, https___www_littlefootprints_edu_sg_privacy_policy, https___www_littlefootprints_edu_sg_blog, https___www_littlefootprints_edu_sg_infant_care, https___www_littlefootprints_edu_sg_admission_info_fees_school_fee, https___www_littlefootprints_edu_sg_admission_info_fees, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_east, https___www_littlefootprints_edu_sg_contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Footprints Preschool Pte Ltd (Yishun 366),https://littlefootprints.edu.sg/admission-info-fees,1290,720.0,720.0,720.0,1500,860.0,860.0,860.0,"https___www_littlefootprints_edu_sg_book_a_tour, https___www_littlefootprints_edu_sg_our_curriculum, https___www_littlefootprints_edu_sg_frequently_asked_questions, https___www_littlefootprints_edu_sg_centre_list, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_north, https___www_littlefootprints_edu_sg_admission_info_fees_childcare_subsidies, https___www_littlefootprints_edu_sg_, https___www_littlefootprints_edu_sg_our_curriculum_childcare, https___www_littlefootprints_edu_sg_our_curriculum_infant_care, https___www_littlefootprints_edu_sg__top, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_south, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_west, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_central, https___www_littlefootprints_edu_sg_childcare, https___www_littlefootprints_edu_sg_privacy_policy, https___www_littlefootprints_edu_sg_blog, https___www_littlefootprints_edu_sg_infant_care, https___www_littlefootprints_edu_sg_admission_info_fees_school_fee, https___www_littlefootprints_edu_sg_admission_info_fees, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_east, https___www_littlefootprints_edu_sg_contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Footprints Preschool Pte Ltd (Yishun 388),https://littlefootprints.edu.sg/admission-info-fees,1290,720.0,720.0,720.0,1500,860.0,860.0,860.0,"https___www_littlefootprints_edu_sg_book_a_tour, https___www_littlefootprints_edu_sg_our_curriculum, https___www_littlefootprints_edu_sg_frequently_asked_questions, https___www_littlefootprints_edu_sg_centre_list, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_north, https___www_littlefootprints_edu_sg_admission_info_fees_childcare_subsidies, https___www_littlefootprints_edu_sg_, https___www_littlefootprints_edu_sg_our_curriculum_childcare, https___www_littlefootprints_edu_sg_our_curriculum_infant_care, https___www_littlefootprints_edu_sg__top, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_south, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_west, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_central, https___www_littlefootprints_edu_sg_childcare, https___www_littlefootprints_edu_sg_privacy_policy, https___www_littlefootprints_edu_sg_blog, https___www_littlefootprints_edu_sg_infant_care, https___www_littlefootprints_edu_sg_admission_info_fees_school_fee, https___www_littlefootprints_edu_sg_admission_info_fees, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_east, https___www_littlefootprints_edu_sg_contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Footprints Preschool Pte Ltd (Yishun 865),https://littlefootprints.edu.sg/admission-info-fees,1290,720.0,720.0,720.0,1500,860.0,860.0,860.0,"https___www_littlefootprints_edu_sg_book_a_tour, https___www_littlefootprints_edu_sg_our_curriculum, https___www_littlefootprints_edu_sg_frequently_asked_questions, https___www_littlefootprints_edu_sg_centre_list, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_north, https___www_littlefootprints_edu_sg_admission_info_fees_childcare_subsidies, https___www_littlefootprints_edu_sg_, https___www_littlefootprints_edu_sg_our_curriculum_childcare, https___www_littlefootprints_edu_sg_our_curriculum_infant_care, https___www_littlefootprints_edu_sg__top, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_south, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_west, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_central, https___www_littlefootprints_edu_sg_childcare, https___www_littlefootprints_edu_sg_privacy_policy, https___www_littlefootprints_edu_sg_blog, https___www_littlefootprints_edu_sg_infant_care, https___www_littlefootprints_edu_sg_admission_info_fees_school_fee, https___www_littlefootprints_edu_sg_admission_info_fees, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_east, https___www_littlefootprints_edu_sg_contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Footprints Schoolhouse (Yishun) Pte Ltd,https://littlefootprints.edu.sg/admission-info-fees,1290,720.0,720.0,720.0,1500,860.0,860.0,860.0,"https___www_littlefootprints_edu_sg_book_a_tour, https___www_littlefootprints_edu_sg_our_curriculum, https___www_littlefootprints_edu_sg_frequently_asked_questions, https___www_littlefootprints_edu_sg_centre_list, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_north, https___www_littlefootprints_edu_sg_admission_info_fees_childcare_subsidies, https___www_littlefootprints_edu_sg_, https___www_littlefootprints_edu_sg_our_curriculum_childcare, https___www_littlefootprints_edu_sg_our_curriculum_infant_care, https___www_littlefootprints_edu_sg__top, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_south, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_west, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_central, https___www_littlefootprints_edu_sg_childcare, https___www_littlefootprints_edu_sg_privacy_policy, https___www_littlefootprints_edu_sg_blog, https___www_littlefootprints_edu_sg_infant_care, https___www_littlefootprints_edu_sg_admission_info_fees_school_fee, https___www_littlefootprints_edu_sg_admission_info_fees, https___www_littlefootprints_edu_sg_centre_list_field_regions_value_east, https___www_littlefootprints_edu_sg_contact_us","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'sensory play', 'social & emotional development']",1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Greenhouse @ Hougang Pte Ltd,https://preschooler.sg/profile/341/LITTLE-GREENHOUSE-@-ALJUNIED-PTE.-LTD.,1680,1280.0,1280.0,1180.0,1680,1280.0,1280.0,1180.0,"https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_10_8001_jpg, https___littlegreenhouse_com_sg_chinese_preschool_programme_, https___littlegreenhouse_com_sg__respond, https___littlegreenhouse_com_sg_programs_programme_highlights_, https___littlegreenhouse_com_sg_centres_serangoon_553_, https___littlegreenhouse_com_sg_centres_sin_ming_, https___littlegreenhouse_com_sg_portfolio_programme_4_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_KINDERGARTEN_jpg, https___littlegreenhouse_com_sg_privacy_policy_, https___littlegreenhouse_com_sg_centres_jurong_west_502_, https___littlegreenhouse_com_sg_portfolio_infant_, https___littlegreenhouse_com_sg_portfolio_programme_6_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_2_jpg, https___littlegreenhouse_com_sg_about_us_, https___littlegreenhouse_com_sg_, https___littlegreenhouse_com_sg_centres_yishun_, https___littlegreenhouse_com_sg_programmes_, https___littlegreenhouse_com_sg_join_us_, https___littlegreenhouse_com_sg_centres_bukit_batok_, https___littlegreenhouse_com_sg_centres_jurong_west_478_, https___littlegreenhouse_com_sg_centres_tampines_, https___littlegreenhouse_com_sg_project_type_programmes_, https___littlegreenhouse_com_sg_little_league_games_, https___littlegreenhouse_com_sg_centres_woodlands_, https___littlegreenhouse_com_sg_portfolio_programme_2_, https___littlegreenhouse_com_sg_food_and_nutrition_, https___littlegreenhouse_com_sg_centres_, https___littlegreenhouse_com_sg__, https___littlegreenhouse_com_sg_preschool_, https___littlegreenhouse_com_sg_portfolio_programme_5_, https___littlegreenhouse_com_sg_our_awards_, https___littlegreenhouse_com_sg_newsevents_, https___littlegreenhouse_com_sg_referral_programme_, https___littlegreenhouse_com_sg_portfolio_programme_3_, https___littlegreenhouse_com_sg_chinese_preschool_, https___littlegreenhouse_com_sg_centres_aljunied_, https___littlegreenhouse_com_sg_payment_, https___littlegreenhouse_com_sg_franchise_opportunities_, https___littlegreenhouse_com_sg_centres_serangoon_540_, https___littlegreenhouse_com_sg_contact_, https___littlegreenhouse_com_sg_centres_hougang_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_jpg, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_INFANT_CARE_jpg, https___littlegreenhouse_com_sg_literacy_smart_programme_, https___littlegreenhouse_com_sg_about__about_s3, https___littlegreenhouse_com_sg_testimonials_","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Greenhouse @ Jw 502 Pte Ltd,https://preschooler.sg/profile/341/LITTLE-GREENHOUSE-@-ALJUNIED-PTE.-LTD.,1680,1280.0,1280.0,1180.0,1680,1280.0,1280.0,1180.0,"https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_10_8001_jpg, https___littlegreenhouse_com_sg_chinese_preschool_programme_, https___littlegreenhouse_com_sg__respond, https___littlegreenhouse_com_sg_programs_programme_highlights_, https___littlegreenhouse_com_sg_centres_serangoon_553_, https___littlegreenhouse_com_sg_centres_sin_ming_, https___littlegreenhouse_com_sg_portfolio_programme_4_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_KINDERGARTEN_jpg, https___littlegreenhouse_com_sg_privacy_policy_, https___littlegreenhouse_com_sg_centres_jurong_west_502_, https___littlegreenhouse_com_sg_portfolio_infant_, https___littlegreenhouse_com_sg_portfolio_programme_6_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_2_jpg, https___littlegreenhouse_com_sg_about_us_, https___littlegreenhouse_com_sg_, https___littlegreenhouse_com_sg_centres_yishun_, https___littlegreenhouse_com_sg_programmes_, https___littlegreenhouse_com_sg_join_us_, https___littlegreenhouse_com_sg_centres_bukit_batok_, https___littlegreenhouse_com_sg_centres_jurong_west_478_, https___littlegreenhouse_com_sg_centres_tampines_, https___littlegreenhouse_com_sg_project_type_programmes_, https___littlegreenhouse_com_sg_little_league_games_, https___littlegreenhouse_com_sg_centres_woodlands_, https___littlegreenhouse_com_sg_portfolio_programme_2_, https___littlegreenhouse_com_sg_food_and_nutrition_, https___littlegreenhouse_com_sg_centres_, https___littlegreenhouse_com_sg__, https___littlegreenhouse_com_sg_preschool_, https___littlegreenhouse_com_sg_portfolio_programme_5_, https___littlegreenhouse_com_sg_our_awards_, https___littlegreenhouse_com_sg_newsevents_, https___littlegreenhouse_com_sg_referral_programme_, https___littlegreenhouse_com_sg_portfolio_programme_3_, https___littlegreenhouse_com_sg_chinese_preschool_, https___littlegreenhouse_com_sg_centres_aljunied_, https___littlegreenhouse_com_sg_payment_, https___littlegreenhouse_com_sg_franchise_opportunities_, https___littlegreenhouse_com_sg_centres_serangoon_540_, https___littlegreenhouse_com_sg_contact_, https___littlegreenhouse_com_sg_centres_hougang_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_jpg, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_INFANT_CARE_jpg, https___littlegreenhouse_com_sg_literacy_smart_programme_, https___littlegreenhouse_com_sg_about__about_s3, https___littlegreenhouse_com_sg_testimonials_","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Greenhouse @ JW Pte Ltd,https://preschooler.sg/profile/341/LITTLE-GREENHOUSE-@-ALJUNIED-PTE.-LTD.,1680,1280.0,1280.0,1180.0,1680,1280.0,1280.0,1180.0,"https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_10_8001_jpg, https___littlegreenhouse_com_sg_chinese_preschool_programme_, https___littlegreenhouse_com_sg__respond, https___littlegreenhouse_com_sg_programs_programme_highlights_, https___littlegreenhouse_com_sg_centres_serangoon_553_, https___littlegreenhouse_com_sg_centres_sin_ming_, https___littlegreenhouse_com_sg_portfolio_programme_4_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_KINDERGARTEN_jpg, https___littlegreenhouse_com_sg_privacy_policy_, https___littlegreenhouse_com_sg_centres_jurong_west_502_, https___littlegreenhouse_com_sg_portfolio_infant_, https___littlegreenhouse_com_sg_portfolio_programme_6_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_2_jpg, https___littlegreenhouse_com_sg_about_us_, https___littlegreenhouse_com_sg_, https___littlegreenhouse_com_sg_centres_yishun_, https___littlegreenhouse_com_sg_programmes_, https___littlegreenhouse_com_sg_join_us_, https___littlegreenhouse_com_sg_centres_bukit_batok_, https___littlegreenhouse_com_sg_centres_jurong_west_478_, https___littlegreenhouse_com_sg_centres_tampines_, https___littlegreenhouse_com_sg_project_type_programmes_, https___littlegreenhouse_com_sg_little_league_games_, https___littlegreenhouse_com_sg_centres_woodlands_, https___littlegreenhouse_com_sg_portfolio_programme_2_, https___littlegreenhouse_com_sg_food_and_nutrition_, https___littlegreenhouse_com_sg_centres_, https___littlegreenhouse_com_sg__, https___littlegreenhouse_com_sg_preschool_, https___littlegreenhouse_com_sg_portfolio_programme_5_, https___littlegreenhouse_com_sg_our_awards_, https___littlegreenhouse_com_sg_newsevents_, https___littlegreenhouse_com_sg_referral_programme_, https___littlegreenhouse_com_sg_portfolio_programme_3_, https___littlegreenhouse_com_sg_chinese_preschool_, https___littlegreenhouse_com_sg_centres_aljunied_, https___littlegreenhouse_com_sg_payment_, https___littlegreenhouse_com_sg_franchise_opportunities_, https___littlegreenhouse_com_sg_centres_serangoon_540_, https___littlegreenhouse_com_sg_contact_, https___littlegreenhouse_com_sg_centres_hougang_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_jpg, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_INFANT_CARE_jpg, https___littlegreenhouse_com_sg_literacy_smart_programme_, https___littlegreenhouse_com_sg_about__about_s3, https___littlegreenhouse_com_sg_testimonials_","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Greenhouse @ S540 Pte Ltd,https://preschooler.sg/profile/341/LITTLE-GREENHOUSE-@-ALJUNIED-PTE.-LTD.,1680,1280.0,1280.0,1180.0,1680,1280.0,1280.0,1180.0,"https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_10_8001_jpg, https___littlegreenhouse_com_sg_chinese_preschool_programme_, https___littlegreenhouse_com_sg__respond, https___littlegreenhouse_com_sg_programs_programme_highlights_, https___littlegreenhouse_com_sg_centres_serangoon_553_, https___littlegreenhouse_com_sg_centres_sin_ming_, https___littlegreenhouse_com_sg_portfolio_programme_4_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_KINDERGARTEN_jpg, https___littlegreenhouse_com_sg_privacy_policy_, https___littlegreenhouse_com_sg_centres_jurong_west_502_, https___littlegreenhouse_com_sg_portfolio_infant_, https___littlegreenhouse_com_sg_portfolio_programme_6_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_2_jpg, https___littlegreenhouse_com_sg_about_us_, https___littlegreenhouse_com_sg_, https___littlegreenhouse_com_sg_centres_yishun_, https___littlegreenhouse_com_sg_programmes_, https___littlegreenhouse_com_sg_join_us_, https___littlegreenhouse_com_sg_centres_bukit_batok_, https___littlegreenhouse_com_sg_centres_jurong_west_478_, https___littlegreenhouse_com_sg_centres_tampines_, https___littlegreenhouse_com_sg_project_type_programmes_, https___littlegreenhouse_com_sg_little_league_games_, https___littlegreenhouse_com_sg_centres_woodlands_, https___littlegreenhouse_com_sg_portfolio_programme_2_, https___littlegreenhouse_com_sg_food_and_nutrition_, https___littlegreenhouse_com_sg_centres_, https___littlegreenhouse_com_sg__, https___littlegreenhouse_com_sg_preschool_, https___littlegreenhouse_com_sg_portfolio_programme_5_, https___littlegreenhouse_com_sg_our_awards_, https___littlegreenhouse_com_sg_newsevents_, https___littlegreenhouse_com_sg_referral_programme_, https___littlegreenhouse_com_sg_portfolio_programme_3_, https___littlegreenhouse_com_sg_chinese_preschool_, https___littlegreenhouse_com_sg_centres_aljunied_, https___littlegreenhouse_com_sg_payment_, https___littlegreenhouse_com_sg_franchise_opportunities_, https___littlegreenhouse_com_sg_centres_serangoon_540_, https___littlegreenhouse_com_sg_contact_, https___littlegreenhouse_com_sg_centres_hougang_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_jpg, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_INFANT_CARE_jpg, https___littlegreenhouse_com_sg_literacy_smart_programme_, https___littlegreenhouse_com_sg_about__about_s3, https___littlegreenhouse_com_sg_testimonials_","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
Little Greenhouse @ S553 Pte Ltd,https://preschooler.sg/profile/341/LITTLE-GREENHOUSE-@-ALJUNIED-PTE.-LTD.,1680,1280.0,1280.0,1180.0,1680,1280.0,1280.0,1180.0,"https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_10_8001_jpg, https___littlegreenhouse_com_sg_chinese_preschool_programme_, https___littlegreenhouse_com_sg__respond, https___littlegreenhouse_com_sg_programs_programme_highlights_, https___littlegreenhouse_com_sg_centres_serangoon_553_, https___littlegreenhouse_com_sg_centres_sin_ming_, https___littlegreenhouse_com_sg_portfolio_programme_4_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_KINDERGARTEN_jpg, https___littlegreenhouse_com_sg_privacy_policy_, https___littlegreenhouse_com_sg_centres_jurong_west_502_, https___littlegreenhouse_com_sg_portfolio_infant_, https___littlegreenhouse_com_sg_portfolio_programme_6_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_2_jpg, https___littlegreenhouse_com_sg_about_us_, https___littlegreenhouse_com_sg_, https___littlegreenhouse_com_sg_centres_yishun_, https___littlegreenhouse_com_sg_programmes_, https___littlegreenhouse_com_sg_join_us_, https___littlegreenhouse_com_sg_centres_bukit_batok_, https___littlegreenhouse_com_sg_centres_jurong_west_478_, https___littlegreenhouse_com_sg_centres_tampines_, https___littlegreenhouse_com_sg_project_type_programmes_, https___littlegreenhouse_com_sg_little_league_games_, https___littlegreenhouse_com_sg_centres_woodlands_, https___littlegreenhouse_com_sg_portfolio_programme_2_, https___littlegreenhouse_com_sg_food_and_nutrition_, https___littlegreenhouse_com_sg_centres_, https___littlegreenhouse_com_sg__, https___littlegreenhouse_com_sg_preschool_, https___littlegreenhouse_com_sg_portfolio_programme_5_, https___littlegreenhouse_com_sg_our_awards_, https___littlegreenhouse_com_sg_newsevents_, https___littlegreenhouse_com_sg_referral_programme_, https___littlegreenhouse_com_sg_portfolio_programme_3_, https___littlegreenhouse_com_sg_chinese_preschool_, https___littlegreenhouse_com_sg_centres_aljunied_, https___littlegreenhouse_com_sg_payment_, https___littlegreenhouse_com_sg_franchise_opportunities_, https___littlegreenhouse_com_sg_centres_serangoon_540_, https___littlegreenhouse_com_sg_contact_, https___littlegreenhouse_com_sg_centres_hougang_, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_NURSERY_jpg, https___littlegreenhouse_com_sg_wp_content_uploads_2015_08_INFANT_CARE_jpg, https___littlegreenhouse_com_sg_literacy_smart_programme_, https___littlegreenhouse_com_sg_about__about_s3, https___littlegreenhouse_com_sg_testimonials_","['active_learning', 'bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'inquiry_based', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'play_based_curriculum', 'spark_certified_curriculum', 'thematic']",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development', 'speech and drama', 'sports']",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1
